retrieved	oa_status	doi	bioproject	title
x	green	10.1007/s12298-024-01455-4	PRJNA1080069	Heat shock protein HvHSP16.9 from wild barley enhances tolerance to salt stress.
x	green	10.1007/s13205-023-03803-9	PRJNA870250	Comprehensive transcriptome analyses of Fusarium-infected root xylem tissues to decipher genes involved in chickpea wilt resistance.
not avail	green	10.1038/s41564-020-0774-1	PRJNA490563	Single-cell RNA-seq reports growth condition-specific global transcriptomes of individual bacteria
wrong paper (cancer)	green	10.1038/s43018-024-00748-7	PRJNA1266229	Codon-mediated translational control of M. oryzae effectors
x	green	10.1073/pnas.1918977117	PRJNA564465	Transcriptome of Fusarium graminearum CS3005
x	green	10.1093/aob/mcac102	PRJNA733882	Wheat transcriptome sequencing
x	green	10.1093/plphys/kiac552	PRJNA778182	RNA-Seq of Nicotiana benthamiana
x	green	10.1093/plphys/kiac572	PRJNA841838	Disclosing the molecular basis of salinity priming in olive tree using proteogenomic approach
x	green	10.1093/plphys/kiad150	PRJNA810958	A dolabralexin-deficient mutant provides insight into specialized diterpenoid metabolism in maize (Zea mays)
x	green	10.1101/2025.05.26.656185	PRJNA1207595	Phytophthora capsici multiple host RNA-Seq
x	green	10.1105/tpc.112.103499	PRJNA209313	Zea mays cultivar:Nathan Transcriptome or Gene expression
x	green	10.1105/tpc.17.00238	PRJNA431598	Pathogen Trojan horse delivers bioactive host protein ZmMAC1 to alter maize (Zea mays) anther cell behavior in the male sterile mutant Zmmac1-1.
x	green	10.1105/tpc.19.00487	PRJNA573599	Identify gene networks in maize and beneficial fungus Trichoderma virens that result in induced systemic resistance (ISR)
x	green	10.1111/mpp.12405	PRJNA294234	Secretome prediction of Phakopsora pachyrhizi expressed in planta (Glycine max)
x	green	10.1111/mpp.12464	PRJNA322501	RNA-seq experiments of systemic colonization of oilseed rape by Leptosphaeria maculans
x	green	10.1111/mpp.12734	PRJNA434179	malus domestica infected with Penicillium expansum PEXP creA mutant and PhloeR Raw sequence reads
x	green	10.1111/nph.12085	PRJNA171217	Gene family expansions and contractions are associated with host range in plant pathogens of the genus Colletotrichum.
x	green	10.1111/nph.14833	PRJNA378602	Olea europaea cultivar:Picual & Frantoio Transcriptome or Gene expression
x	green	10.1111/nph.17625	PRJNA674747	Cross-species analysis between the maize smut fungi Ustilago maydis and Sporisorium reilianum
x	green	10.1111/nph.71146	PRJNA1200603	BnaA07.WRKY40 transcription factor confers enhanced defensive response to sclerotinia sclerotiorum in Brassica napus
x	green	10.1111/nph.71312	PRJNA1394627	Apples
x	green	10.1111/tpj.15598	PRJNA740181	Comparative transcriptomes of WT or jasmonic acid oxidase 2-1 (jao2-1) rosette leaves before or after inoculation with Botrytis cinerea spores
x	green	10.1126/science.1194573	PRJEB3069	Transcription profiling by high throughput of Blumeria gramis during infection of Barley
x	green	10.1126/science.aaq0892	PRJNA418175	MAP kinase-dependent cell-to-cell movement drives plant tissue invasion by the rice blast fungus
x	green	10.1128/AEM.02212-20	PRJNA658390	Colletotrichum fructicola RNA-sequencing
x	green	10.1128/JB.00792-19	PRJNA610657	Identifying candidate genes whose expression is regulated by the HutC transcriptional repressor in Pseudomonas fluorescens SBW25
x	green	10.64898/2026.06.02.729393	PRJNA1465640	Arabidopsis thaliana wildtype and tpx mutant RNAseq reads
x	hybrid	10.1002/ps.6380	PRJEB39756	High frequency of fungicide resistance-associated mutations in the wheat yellow rust pathogen Puccinia striiformis f. sp. tritici.
x	hybrid	10.1007/s00344-026-12102-5	PRJNA1128586	Effect of cis-Zeatin and trans-Zeatin in delaying leaf senescence in Solanum lycopersicum under salt stress
x	hybrid	10.1007/s42161-022-01235-7	PRJNA808246	Plant virus metagenomic data 2022
x	hybrid	10.1007/s42161-024-01672-6	PRJNA1011022	Baseline virus reservoir
x	hybrid	10.1016/j.micres.2024.127836	PRJNA1085399	RNA-Seq data of Verticillium dahliae and Gossypium hirsutum treated by KRS027
x	hybrid	10.1016/j.molp.2024.09.006	PRJNA1161467	RNA-Seq of maize sheath
x	hybrid	10.1016/j.molp.2025.07.008	PRJNA1160434	Transcriptome of Triticum urartu PI428322 with CYR34 inoculated seedlings
x	hybrid	10.1016/j.plantsci.2019.110178	PRJNA513863	Gene regulation in wild and cultivated Vitis species during deacclimation and budbreak
x	hybrid	10.1016/j.pmpp.2020.101464	PRJNA565800	Transcriptome analysis of Phakopsora pachyrhizi uncovers putative effector repertoire during infection
x	hybrid	10.1016/j.virol.2026.110820	PRJNA1263482	TSWV D-RB
x	hybrid	10.1038/ng.3485	PRJNA296894	Transcriptomic analysis of Blumeria graminis triticale on different hosts
x	hybrid	10.1093/plphys/kiag187	PRJDB9607	Transcriptome analysis of plant grafting
x	hybrid	10.1104/pp.114.255927	PRJEB8798	Transcriptome and Metabolite Profiling of the Infection Cycle of Zymoseptoria tritici on Wheat Reveals a Biphasic Interaction with Plant Immunity Involving Differential Pathogen Chromosomal Contributions and a Variation on the Hemibiotrophic Lifestyle Definition.
x	hybrid	10.1104/pp.15.00852	PRJNA281236	Developmental and metabolic plasticity of ripe Sémillon grape berries in response to Botrytis cinerea during noble rot
x	hybrid	10.1104/pp.17.00390	PRJNA384934	Arabidopsis pistil transcriptomics during defense and reproduction
