bp	setting	n_runs	coinf_rate	coinf_rate_hc
PRJNA1162778	lab	11	0.0909	0.0909
PRJNA487807	lab	4	0.25	0.0
PRJNA670487	field	32	0.0312	0.0312
PRJEB13072	lab	1	1.0	1.0
PRJNA1157721	lab	4	0.25	0.0
PRJNA1491631	lab	1	1.0	0.0
PRJNA748207	lab	1	1.0	0.0
PRJNA1202856	lab	4	0.25	0.0
PRJNA36323	lab	3	0.3333	0.0
PRJNA397359	lab	1	1.0	0.0
PRJNA398030	lab	1	1.0	0.0
PRJNA1499897	lab	4	0.25	0.25
PRJDB19723	lab	11	0.0909	0.0909
PRJNA899438	lab	6	0.1667	0.1667
PRJNA1244272	lab	1	1.0	0.0
PRJNA641525	lab	2	0.5	0.0
PRJNA1189264	lab	5	0.2	0.0
PRJNA689117	lab	1	1.0	1.0
PRJNA1182511	lab	1	1.0	1.0
PRJNA1471993	lab	5	0.2	0.0
PRJNA1275759	lab	1	1.0	1.0
PRJNA1330017	lab	7	0.1429	0.1429
PRJNA768797	lab	3	0.3333	0.0
PRJNA667277	lab	1	1.0	0.0
PRJNA761500	lab	5	0.2	0.0
PRJNA1170567	lab	3	0.3333	0.0
PRJNA1161467	lab	5	0.2	0.2
PRJNA911587	lab	1	1.0	1.0
PRJNA842515	lab	2	0.5	0.0
PRJNA892753	lab	2	0.5	0.0
PRJNA321325	field	3	0.3333	0.3333
PRJNA1457645	lab	1	1.0	1.0
PRJNA1465031	lab	2	0.5	0.0
PRJNA926886	lab	3	0.3333	0.0
PRJNA450087	lab	21	0.0476	0.0
PRJNA509606	lab	4	0.25	0.0
PRJNA552611	lab	2	0.5	0.0
PRJNA720576	lab	1	1.0	0.0
PRJNA531693	lab	11	0.0909	0.0
PRJNA564795	field	2	0.5	0.5
PRJNA986958	lab	3	0.3333	0.3333
PRJNA1255403	lab	2	0.5	0.0
PRJNA573599	lab	26	0.0385	0.0385
PRJNA1156254	lab	6	0.1667	0.0
PRJNA548392	lab	1	1.0	0.0
PRJNA764554	lab	3	0.3333	0.3333
PRJEB59238	lab	18	0.0556	0.0
PRJNA415853	lab	6	0.1667	0.0
PRJNA483762	lab	3	0.3333	0.0
PRJNA1058883	lab	2	0.5	0.0
PRJNA757397	lab	10	0.1	0.0
PRJEB48949	field	26	0.0385	0.0385
PRJNA1245489	lab	18	0.0556	0.0
PRJNA246444	lab	1	1.0	0.0
PRJNA686475	lab	2	0.0	0.0
PRJNA1031678	lab	2	0.0	0.0
PRJNA872313	lab	8	0.0	0.0
PRJNA1267768	lab	2	0.0	0.0
PRJNA171217	lab	1	0.0	0.0
PRJNA392275	lab	5	0.0	0.0
PRJNA588102	lab	1	0.0	0.0
PRJNA778051	lab	5	0.0	0.0
PRJNA926806	lab	2	0.0	0.0
PRJNA1231252	lab	21	0.0	0.0
PRJNA1279063	field	24	0.0	0.0
PRJNA372579	lab	1	0.0	0.0
PRJNA473896	lab	6	0.0	0.0
PRJNA1237996	lab	36	0.0	0.0
PRJEB44222	lab	18	0.0	0.0
PRJEB50522	lab	81	0.0	0.0
PRJNA813432	lab	144	0.0	0.0
PRJEB77002	field	6	0.0	0.0
PRJNA328045	lab	39	0.0	0.0
PRJNA1083222	lab	4	0.0	0.0
PRJNA1347294	lab	2	0.0	0.0
PRJNA260080	lab	3	0.0	0.0
PRJNA245759	lab	3	0.0	0.0
PRJNA516496	lab	6	0.0	0.0
PRJEB45007	lab	3	0.0	0.0
PRJNA1011491	lab	12	0.0	0.0
PRJNA325291	lab	6	0.0	0.0
PRJNA1137604	lab	27	0.0	0.0
PRJEB46918	lab	28	0.0	0.0
PRJEB14966	lab	8	0.0	0.0
PRJNA841073	lab	9	0.0	0.0
PRJNA293991	lab	9	0.0	0.0
PRJNA250530	lab	1	0.0	0.0
PRJNA151285	lab	22	0.0	0.0
PRJDB8014	lab	12	0.0	0.0
PRJNA523226	lab	9	0.0	0.0
PRJNA849030	lab	24	0.0	0.0
PRJNA1247000	lab	24	0.0	0.0
PRJNA1338360	lab	34	0.0	0.0
PRJNA496584	lab	1	0.0	0.0
PRJNA1044756	lab	12	0.0	0.0
PRJNA932210	lab	8	0.0	0.0
PRJNA613154	lab	2	0.0	0.0
PRJEB53625	lab	2	0.0	0.0
PRJEB75530	lab	41	0.0	0.0
PRJNA610657	lab	1	0.0	0.0
PRJNA1164193	lab	12	0.0	0.0
PRJNA975738	lab	1	0.0	0.0
PRJNA344467	lab	6	0.0	0.0
PRJEB20188	lab	9	0.0	0.0
PRJNA447872	lab	2	0.0	0.0
PRJNA670341	lab	32	0.0	0.0
PRJNA1148379	lab	24	0.0	0.0
PRJNA831271	lab	6	0.0	0.0
PRJEB46468	lab	12	0.0	0.0
