bp	setting	n_runs	coinf_rate	coinf_rate_hc
PRJNA1423781	lab	2	0.0	0.0
PRJNA761556	lab	2	0.0	0.0
PRJNA322501	lab	5	0.0	0.0
PRJEB37046	lab	6	0.0	0.0
PRJNA522013	lab	7	0.0	0.0
PRJNA1018845	lab	9	0.0	0.0
PRJNA643674	lab	6	0.0	0.0
PRJNA1135931	lab	1	0.0	0.0
PRJNA423270	lab	4	0.0	0.0
PRJNA1100217	lab	4	0.0	0.0
PRJNA632579	lab	8	0.0	0.0
PRJNA1143533	lab	12	0.0	0.0
PRJNA1479129	lab	4	0.0	0.0
PRJNA659604	lab	13	0.0	0.0
PRJNA819278	lab	1	0.0	0.0
PRJNA407369	lab	15	0.0	0.0
PRJNA274853	lab	12	0.0	0.0
PRJNA868217	lab	3	0.0	0.0
PRJNA886841	lab	7	0.0	0.0
PRJNA690691	lab	1	0.0	0.0
PRJNA841643	lab	1	0.0	0.0
PRJNA595999	lab	1	0.0	0.0
PRJNA358683	lab	1	0.0	0.0
PRJEB39398	lab	4	0.0	0.0
PRJNA797248	lab	6	0.0	0.0
PRJNA689677	lab	3	0.0	0.0
PRJDB38457	lab	6	0.0	0.0
PRJNA509070	lab	1	0.0	0.0
PRJNA1101972	lab	8	0.0	0.0
PRJEB109258	field	2	0.0	0.0
PRJNA1038948	lab	1	0.0	0.0
PRJNA1265958	lab	4	0.0	0.0
PRJNA1122595	lab	7	0.0	0.0
PRJNA1280538	lab	3	0.0	0.0
PRJNA893261	lab	3	0.0	0.0
PRJNA674985	lab	10	0.0	0.0
PRJNA1294153	lab	4	0.0	0.0
PRJNA1475870	lab	6	0.0	0.0
PRJNA1356318	lab	1	0.0	0.0
PRJEB10574	lab	8	0.0	0.0
PRJEB36444	lab	2	0.0	0.0
PRJNA853857	lab	3	0.0	0.0
PRJNA575690	lab	3	0.0	0.0
PRJNA1203410	lab	6	0.0	0.0
PRJNA1402668	lab	2	0.0	0.0
PRJNA762085	lab	2	0.0	0.0
PRJNA369690	lab	3	0.0	0.0
PRJNA759282	field	4	0.0	0.0
PRJNA957090	lab	3	0.0	0.0
PRJNA1475882	lab	3	0.0	0.0
PRJNA432638	lab	1	0.0	0.0
PRJNA900512	lab	3	0.0	0.0
PRJNA897109	lab	1	0.0	0.0
PRJNA414966	lab	4	0.0	0.0
PRJNA1013591	lab	8	0.0	0.0
PRJNA721468	lab	8	0.0	0.0
PRJNA1390436	lab	6	0.0	0.0
PRJNA1434284	lab	1	0.0	0.0
PRJNA960834	lab	2	0.0	0.0
PRJEB85720	lab	10	0.0	0.0
PRJNA957574	lab	2	0.0	0.0
PRJNA841031	lab	4	0.0	0.0
PRJNA318049	lab	6	0.0	0.0
PRJNA485739	lab	2	0.0	0.0
PRJNA607858	lab	6	0.0	0.0
PRJNA477556	lab	7	0.0	0.0
PRJNA938609	lab	3	0.0	0.0
PRJNA151401	lab	2	0.0	0.0
PRJEB44745	lab	1	0.0	0.0
PRJNA1445478	lab	5	0.0	0.0
PRJNA483957	lab	10	0.0	0.0
PRJNA791784	lab	2	0.0	0.0
PRJNA875113	lab	12	0.0	0.0
PRJNA407898	lab	2	0.0	0.0
PRJNA839510	lab	1	0.0	0.0
PRJEB23306	lab	1	0.0	0.0
PRJNA1250220	lab	3	0.0	0.0
PRJEB21223	lab	5	0.0	0.0
PRJNA741487	lab	4	0.0	0.0
PRJEB64683	lab	3	0.0	0.0
PRJNA549565	lab	1	0.0	0.0
PRJEB24686	lab	9	0.0	0.0
PRJNA740181	lab	4	0.0	0.0
PRJNA1452953	lab	12	0.0	0.0
PRJNA524268	lab	6	0.0	0.0
PRJNA1143388	field	2	0.0	0.0
PRJNA1134673	field	5	0.0	0.0
PRJNA1245285	lab	10	0.0	0.0
PRJNA903693	lab	1	0.0	0.0
PRJNA742147	lab	4	0.0	0.0
PRJNA1215988	lab	2	0.0	0.0
PRJNA741058	lab	2	0.0	0.0
PRJNA1414147	lab	10	0.0	0.0
PRJNA739552	lab	6	0.0	0.0
PRJNA322439	lab	2	0.0	0.0
PRJNA1477694	lab	3	0.0	0.0
PRJDB9318	lab	6	0.0	0.0
PRJNA1108929	lab	6	0.0	0.0
PRJNA846583	lab	2	0.0	0.0
PRJNA1242805	lab	2	0.0	0.0
PRJNA1127845	lab	14	0.0	0.0
PRJEB88084	lab	6	0.0	0.0
PRJNA1036172	lab	6	0.0	0.0
PRJNA742853	lab	1	0.0	0.0
PRJNA1197544	lab	2	0.0	0.0
PRJNA957941	lab	1	0.0	0.0
PRJNA276444	lab	6	0.0	0.0
PRJNA1038810	lab	1	0.0	0.0
PRJEB13048	lab	2	0.0	0.0
PRJNA289545	lab	4	0.0	0.0
PRJNA415716	lab	14	0.0	0.0
PRJNA564947	lab	1	0.0	0.0
PRJNA1187339	lab	4	0.0	0.0
PRJNA782344	lab	4	0.0	0.0
PRJNA432224	lab	3	0.0	0.0
PRJNA739851	lab	4	0.0	0.0
PRJNA209313	lab	1	0.0	0.0
PRJNA419281	lab	2	0.0	0.0
PRJNA1416783	field	1	0.0	0.0
PRJNA1253310	lab	3	0.0	0.0
PRJNA757130	lab	6	0.0	0.0
PRJEB80223	lab	1	0.0	0.0
PRJNA1460992	lab	3	0.0	0.0
PRJNA1203070	lab	6	0.0	0.0
PRJNA1038947	lab	1	0.0	0.0
PRJNA953858	lab	2	0.0	0.0
PRJNA590671	lab	2	0.0	0.0
PRJNA1367956	lab	5	0.0	0.0
PRJDB39205	lab	1	0.0	0.0
PRJNA700696	lab	6	0.0	0.0
PRJNA1191001	field	1	0.0	0.0
PRJNA1103823	lab	4	0.0	0.0
PRJNA991318	lab	4	0.0	0.0
PRJNA1426573	lab	3	0.0	0.0
PRJDB12449	lab	2	0.0	0.0
PRJNA231064	lab	2	0.0	0.0
PRJNA1006160	lab	1	0.0	0.0
PRJNA418121	lab	6	0.0	0.0
PRJNA916485	lab	3	0.0	0.0
PRJNA1312333	lab	4	0.0	0.0
PRJNA473206	lab	1	0.0	0.0
PRJNA1043684	lab	3	0.0	0.0
PRJNA956666	lab	1	0.0	0.0
PRJNA575568	lab	2	0.0	0.0
PRJNA1181513	lab	6	0.0	0.0
PRJNA749126	lab	2	0.0	0.0
PRJNA735336	lab	3	0.0	0.0
PRJNA1177454	lab	6	0.0	0.0
PRJNA978633	lab	3	0.0	0.0
PRJDB16420	lab	1	0.0	0.0
PRJNA329199	lab	1	0.0	0.0
PRJNA1160434	lab	1	0.0	0.0
PRJNA657713	lab	1	0.0	0.0
PRJNA818435	lab	3	0.0	0.0
PRJNA850847	lab	3	0.0	0.0
PRJNA339565	lab	3	0.0	0.0
PRJNA574280	lab	8	0.0	0.0
PRJNA1201637	lab	2	0.0	0.0
PRJNA646588	lab	2	0.0	0.0
PRJNA1228322	lab	3	0.0	0.0
PRJNA1400237	lab	8	0.0	0.0
PRJNA352773	lab	3	0.0	0.0
PRJNA301699	lab	1	0.0	0.0
PRJNA1028178	field	1	0.0	0.0
PRJNA1251656	lab	2	0.0	0.0
PRJNA908908	lab	6	0.0	0.0
PRJNA318879	lab	1	0.0	0.0
PRJNA776419	lab	1	0.0	0.0
PRJNA1160431	lab	5	0.0	0.0
PRJNA240125	lab	1	0.0	0.0
PRJNA868504	lab	2	0.0	0.0
PRJNA744887	lab	2	0.0	0.0
PRJDB36112	lab	2	0.0	0.0
PRJDB12891	lab	1	0.0	0.0
PRJNA1087463	field	2	0.0	0.0
PRJNA556349	lab	1	0.0	0.0
PRJNA574764	lab	2	0.0	0.0
PRJNA859548	lab	2	0.0	0.0
PRJNA934741	lab	1	0.0	0.0
PRJNA836737	lab	1	0.0	0.0
PRJNA1276679	lab	1	0.0	0.0
PRJNA1088814	lab	2	0.0	0.0
PRJNA904271	lab	4	0.0	0.0
PRJNA751625	lab	2	0.0	0.0
PRJNA637760	lab	1	0.0	0.0
PRJDB41559	lab	1	0.0	0.0
PRJNA361024	lab	1	0.0	0.0
PRJNA730711	lab	1	0.0	0.0
PRJNA176022	lab	1	0.0	0.0
PRJEB34899	lab	1	0.0	0.0
PRJNA852375	field	2	0.0	0.0
PRJNA1344827	lab	2	0.0	0.0
PRJNA1335525	lab	1	0.0	0.0
PRJNA315041	lab	1	0.0	0.0
PRJNA757744	lab	3	0.0	0.0
PRJNA669995	lab	2	0.0	0.0
PRJNA1072674	lab	3	0.0	0.0
PRJDB12902	lab	1	0.0	0.0
PRJNA1402980	lab	1	0.0	0.0
PRJNA924676	lab	1	0.0	0.0
PRJNA900521	lab	3	0.0	0.0
PRJNA1127494	field	2	0.0	0.0
PRJEB33674	lab	3	0.0	0.0
PRJNA988279	lab	1	0.0	0.0
PRJNA1006415	lab	1	0.0	0.0
PRJEB88172	lab	1	0.0	0.0
PRJNA246735	lab	4	0.0	0.0
PRJNA1374450	lab	1	0.0	0.0
PRJNA589993	lab	1	0.0	0.0
PRJNA1038808	field	1	0.0	0.0
PRJNA1072624	lab	1	0.0	0.0
PRJNA307989	lab	1	0.0	0.0
PRJNA858969	lab	1	0.0	0.0
PRJNA1010139	lab	1	0.0	0.0
PRJNA490074	lab	4	0.0	0.0
PRJEB110406	lab	1	0.0	0.0
PRJDB38806	lab	3	0.0	0.0
PRJNA273659	lab	2	0.0	0.0
PRJNA937310	lab	1	0.0	0.0
PRJNA299503	lab	1	0.0	0.0
PRJNA777456	lab	2	0.0	0.0
PRJNA476551	lab	1	0.0	0.0
PRJNA695320	lab	1	0.0	0.0
PRJNA309643	lab	1	0.0	0.0
PRJNA477951	lab	1	0.0	0.0
PRJNA515933	lab	2	0.0	0.0
PRJNA1211198	lab	1	0.0	0.0
PRJNA307634	field	1	0.0	0.0
PRJNA1230716	lab	1	0.0	0.0
PRJNA839539	lab	1	0.0	0.0
PRJNA1266229	lab	1	0.0	0.0
PRJNA1221773	lab	1	0.0	0.0
PRJNA616416	lab	1	0.0	0.0
PRJNA936832	lab	4	0.0	0.0
PRJNA629966	lab	2	0.0	0.0
PRJEB34944	lab	1	0.0	0.0
PRJNA563868	lab	1	0.0	0.0
PRJNA715088	lab	1	0.0	0.0
PRJNA1018266	field	1	0.0	0.0
PRJNA745147	lab	2	0.0	0.0
PRJNA776278	lab	1	0.0	0.0
PRJNA349155	lab	1	0.0	0.0
PRJNA357594	lab	1	0.0	0.0
PRJNA534308	lab	1	0.0	0.0
PRJNA1496248	lab	1	0.0	0.0
PRJNA1462132	lab	1	0.0	0.0
PRJNA1040252	lab	1	0.0	0.0
PRJNA725619	lab	1	0.0	0.0
PRJNA778182	lab	1	0.0	0.0
PRJNA1242503	lab	1	0.0	0.0
PRJNA504749	lab	1	0.0	0.0
PRJNA1245619	lab	1	0.0	0.0
PRJNA971242	lab	1	0.0	0.0
PRJNA378602	lab	1	0.0	0.0
PRJNA576276	lab	1	0.0	0.0
PRJNA1008994	lab	1	0.0	0.0
PRJNA1218812	lab	1	0.0	0.0
PRJEB107162	lab	13	0.0	0.0
PRJEB107075	lab	14	0.0	0.0
