run	biosample	rank	n_pathogens	n_cryptic	coinfection	declared_taxids	declared_names	stress	setting	coinf_intent
ERR10886956	SAMEA112356032	species	6	5	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886956	SAMEA112356032	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886957	SAMEA112356033	species	7	6	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886957	SAMEA112356033	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886960	SAMEA112356034	species	11	10	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886960	SAMEA112356034	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886961	SAMEA112356034	species	11	10	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886961	SAMEA112356034	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886962	SAMEA112356034	species	11	10	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886962	SAMEA112356034	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886963	SAMEA112356035	species	9	8	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886963	SAMEA112356035	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886964	SAMEA112356035	species	10	9	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886964	SAMEA112356035	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886965	SAMEA112356035	species	9	8	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886965	SAMEA112356035	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886967	SAMEA112356036	species	10	9	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886967	SAMEA112356036	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886968	SAMEA112356036	species	9	8	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886968	SAMEA112356036	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886970	SAMEA112356037	species	9	8	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886970	SAMEA112356037	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886975	SAMEA112356039	species	5	4	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886975	SAMEA112356039	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886976	SAMEA112356039	species	4	3	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886976	SAMEA112356039	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886977	SAMEA112356039	species	5	4	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886977	SAMEA112356039	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886981	SAMEA112356041	species	6	5	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886981	SAMEA112356041	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886982	SAMEA112356041	species	6	5	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886982	SAMEA112356041	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886984	SAMEA112356042	species	7	6	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886984	SAMEA112356042	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886986	SAMEA112356042	species	7	6	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886986	SAMEA112356042	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886987	SAMEA112356043	species	6	5	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886987	SAMEA112356043	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886989	SAMEA112356043	species	6	5	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886989	SAMEA112356043	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886990	SAMEA112356044	species	7	6	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886990	SAMEA112356044	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886994	SAMEA112356045	species	8	7	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886994	SAMEA112356045	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886995	SAMEA112356045	species	8	7	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886995	SAMEA112356045	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886996	SAMEA112356046	species	9	8	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886996	SAMEA112356046	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886998	SAMEA112356046	species	9	8	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886998	SAMEA112356046	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886999	SAMEA112356047	species	9	8	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10886999	SAMEA112356047	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10887000	SAMEA112356047	species	9	8	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10887000	SAMEA112356047	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10887001	SAMEA112356047	species	9	8	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10887001	SAMEA112356047	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10887002	SAMEA112356048	species	9	8	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10887002	SAMEA112356048	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10887003	SAMEA112356048	species	11	10	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10887003	SAMEA112356048	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10887004	SAMEA112356048	species	10	9	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10887004	SAMEA112356048	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10887007	SAMEA112356049	species	9	8	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10887007	SAMEA112356049	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10926629	SAMEA112681301	species	7	6	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10926629	SAMEA112681301	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10926635	SAMEA112681304	species	8	7	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10926635	SAMEA112681304	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10926639	SAMEA112681306	species	7	6	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10926639	SAMEA112681306	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10926641	SAMEA112681307	species	8	7	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10926641	SAMEA112681307	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10926643	SAMEA112681309	species	9	8	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10926643	SAMEA112681309	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10926661	SAMEA112681319	species	6	5	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10926661	SAMEA112681319	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10926663	SAMEA112681320	species	7	6	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10926663	SAMEA112681320	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10926673	SAMEA112681325	species	9	8	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10926673	SAMEA112681325	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10926698	SAMEA112681339	species	7	6	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10926698	SAMEA112681339	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10926700	SAMEA112681340	species	7	6	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10926700	SAMEA112681340	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10926702	SAMEA112681341	species	8	7	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10926702	SAMEA112681341	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10926705	SAMEA112681342	species	8	7	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10926705	SAMEA112681342	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10926707	SAMEA112681343	species	9	8	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR10926707	SAMEA112681343	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR12013027	SAMEA114317546	species	5	5	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013027	SAMEA114317546	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013028	SAMEA114317547	species	5	5	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013028	SAMEA114317547	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013029	SAMEA114317548	species	5	5	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013029	SAMEA114317548	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013030	SAMEA114317549	species	5	5	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013030	SAMEA114317549	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013031	SAMEA114317550	species	5	5	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013031	SAMEA114317550	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013032	SAMEA114317551	species	5	5	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013032	SAMEA114317551	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013034	SAMEA114317553	species	5	5	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013034	SAMEA114317553	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013039	SAMEA114317558	species	13	13	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013039	SAMEA114317558	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013040	SAMEA114317559	species	18	18	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013040	SAMEA114317559	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013047	SAMEA114317566	species	9	9	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013047	SAMEA114317566	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013048	SAMEA114317567	species	15	15	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013048	SAMEA114317567	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013049	SAMEA114317568	species	27	27	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013049	SAMEA114317568	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013050	SAMEA114317569	species	17	17	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013050	SAMEA114317569	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013052	SAMEA114317571	species	18	18	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013052	SAMEA114317571	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013053	SAMEA114317572	species	6	6	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013053	SAMEA114317572	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013054	SAMEA114317573	species	8	8	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013054	SAMEA114317573	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013055	SAMEA114317574	species	12	12	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013055	SAMEA114317574	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013056	SAMEA114317575	species	8	8	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013056	SAMEA114317575	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013057	SAMEA114317576	species	12	12	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013057	SAMEA114317576	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013059	SAMEA114317578	species	5	5	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013059	SAMEA114317578	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013060	SAMEA114317579	species	13	13	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013060	SAMEA114317579	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013061	SAMEA114317581	species	19	19	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013061	SAMEA114317581	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013065	SAMEA114317585	species	6	6	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013065	SAMEA114317585	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013066	SAMEA114317586	species	23	23	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013066	SAMEA114317586	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013069	SAMEA114317589	species	16	16	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013069	SAMEA114317589	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013070	SAMEA114317590	species	8	8	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013070	SAMEA114317590	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013072	SAMEA114317592	species	22	22	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013072	SAMEA114317592	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013073	SAMEA114317593	species	5	5	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013073	SAMEA114317593	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013075	SAMEA114317595	species	9	9	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013075	SAMEA114317595	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013076	SAMEA114317596	species	5	5	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013076	SAMEA114317596	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013079	SAMEA114317580	species	12	12	yes	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR12013079	SAMEA114317580	genus	0	0	no	56615	Puccinia graminis f. sp. tritici	biotic	field	single_pathogen_focus
ERR1248475		species	0	0	no					
ERR1248475		genus	0	0	no					
ERR13070694	SAMEA115577677	species	11	10	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13070694	SAMEA115577677	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13105496	SAMEA115577682	species	8	7	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13105496	SAMEA115577682	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13105519	SAMEA115577683	species	11	10	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13105519	SAMEA115577683	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13105569	SAMEA115577684	species	7	6	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13105569	SAMEA115577684	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13107141	SAMEA115577687	species	11	10	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13107141	SAMEA115577687	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13107145	SAMEA115577688	species	7	6	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13107145	SAMEA115577688	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13107161	SAMEA115577690	species	9	8	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13107161	SAMEA115577690	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13107171	SAMEA115577692	species	6	5	yes	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
ERR13107171	SAMEA115577692	genus	0	0	no	5518	Fusarium graminearum	biotic	field	single_pathogen_focus
