run	analyzed	fungi_pct	viruses_pct	bacteria_pct	oomycota_pct	nematoda_pct
SRR5493933	24183352	3.4032	0.0	13.6052	0.0	0.0
ERR7421544	9358130	15.6537	0.567	0.3102	0.0	0.0
ERR754067	22843853	0.0	39.7497	1.0523	0.0	0.0
SRR23852733	53104	0.0	51.6082	0.1921	0.0	0.0
SRR22973857	34974174	5.8087	0.0	1.9264	0.0	0.0
SRR7264834	2229002	3.1237	0.0	0.0	0.0	0.0
SRR25233142	24059459	0.0	6.1416	0.1904	0.0	0.0
SRR30328486	47832464	0.0	31.2397	2.2482	0.0	0.0
SRR21021775	18701115	0.0	2.7909	0.5861	0.0	0.0
SRR6925810	34129460	3.5895	0.0	0.0	0.0	0.0
SRR29384837	35823082	1.1512	0.0	0.9792	0.0	0.0
SRR14803613	14823981	0.0	6.3828	3.2593	0.0	0.0
SRR36186732	23881207	0.0	1.1703	0.0	0.0	0.0
SRR3734861	450286	65.7449	0.0	1.0169	0.0	0.0
SRR23797924	29818548	0.0	1.831	0.1127	0.0	0.0
SRR8432586	9476219	19.7026	0.0	0.0	0.0	0.0
SRR33516295	23304453	0.0	3.5826	0.1413	0.0	0.0
SRR32366111	21835606	0.0	3.2603	0.9228	0.0	0.0
SRR34326334	5736186	0.0	4.4972	0.1116	0.0	0.0
SRR2939232	47215389	0.0	1.9698	1.0734	0.0	0.0
DRR897994	20251642	0.0	61.6105	0.0	0.0	0.0
SRR25924106	40825166	4.3912	0.0	0.2272	0.0	0.0
DRR871556	22448012	0.0	6.4112	0.1436	0.0	0.0
SRR26860117	26949020	74.1892	0.0	0.4934	0.0	0.0
ERR14043218	17234229	0.0	1.4494	0.3444	0.0	0.0
SRR7266216	146907	1.6364	0.0	0.0	0.0	0.0
SRR26462338	23482281	0.0	20.0995	0.1099	0.0	0.0
SRR8303046	79992678	0.0	1.1304	0.0	0.0	0.0
SRR37513065	41273199	11.2036	0.0	0.109	0.0	0.0
SRR7267012	1501587	4.9808	0.0	0.0	0.0	0.0
SRR16938915	18219703	0.0	73.8895	0.2305	0.0	0.0
SRR25209545	22316761	0.0	2.4282	0.1692	0.0	0.0
SRR3724136	30164701	21.7709	0.0	0.1492	0.0	0.0
SRR35276969	21895267	0.0	4.5852	3.4262	0.0	0.0
SRR1170949	13321618	0.0	1.7044	0.0	0.0	0.0
SRR34300138	42037057	1.9533	0.2108	7.4015	0.0	0.0
SRR13823999	7846572	69.0588	0.0	0.1592	0.0	0.0
SRR32975038	33020646	0.1545	9.5066	0.1409	0.0	0.0
DRR745649	19822007	20.3437	0.0	0.0	0.0	0.0
SRR11574240	1737754	0.1303	2.1939	0.7306	0.0	0.0
ERR6212273	5838765	0.0	1.5169	1.9805	0.0	0.0
ERR13249306	19567652	0.0	0.0	5.9658	0.0	0.0
SRR10209322	24275887	2.3764	0.0	0.3024	0.0	0.0
SRR15498074	11610501	6.4212	0.0	0.2637	0.0	0.0
DRR854529	25050073	6.4109	0.0	0.8009	0.0	0.0
SRR14238791	22386880	2.661	0.0	0.3005	0.0	0.0
SRR11035836	11503191	0.0	16.7628	0.4909	0.0	0.0
SRR11566075	2221242	0.0	36.3142	0.0	0.0	0.0
SRR31439142	46703019	4.2097	0.3056	0.6358	0.0	0.0
ERR9976384	17254741	0.0	1.4846	0.1175	0.0	0.0
SRR19399955	32240267	2.2523	0.0	0.4571	0.0	0.0
SRR27842076	51207834	0.0	1.4159	3.9745	0.0	0.0
DRR1052442	30848417	0.6144	13.8508	0.7101	0.0	0.0
SRR7000840	27598074	1.5839	0.0	1.2295	0.0	0.0
SRR25723155	16069138	0.0	25.317	1.9248	0.0	0.0
DRR897992	15629723	0.0	58.8869	0.0	0.0	0.0
SRR33516339	25344858	0.0	2.3595	0.0	0.0	0.0
SRR7408323	21939852	0.0	5.2188	0.0	0.0	0.0
SRR28224679	21931970	0.0	34.5658	4.2497	0.0	0.0
SRR13132030	36595925	0.0	1.8036	2.5624	0.0	0.0
SRR16480651	26870657	0.0	6.1552	10.2195	0.0	0.0
SRR32944890	50402187	0.0	2.9893	0.1042	0.0	0.0
SRR17332338	23221420	0.0	0.0	27.3614	0.0	0.0
