accession	tissue_raw	tissue_category
SAMN23585395	Shoot tip	aerial_other
SAMN23585394	Shoot tip	aerial_other
SAMN23585393	Shoot tip	aerial_other
SAMN23585392	Shoot tip	aerial_other
SAMN23585391	Shoot tip	aerial_other
SAMN23585390	Shoot tip	aerial_other
SAMN23585389	Shoot tip	aerial_other
SAMN23585388	Shoot tip	aerial_other
SAMN23585387	Shoot tip	aerial_other
SAMN23585386	Shoot tip	aerial_other
SAMN23585385	Shoot tip	aerial_other
SAMN23585384	Shoot tip	aerial_other
SAMN23585383	Shoot tip	aerial_other
SAMN23585382	Shoot tip	aerial_other
SAMN23585381	Shoot tip	aerial_other
SAMN23585380	Shoot tip	aerial_other
SAMN23585379	Shoot tip	aerial_other
SAMN23585378	Shoot tip	aerial_other
SAMN23585377	Shoot tip	aerial_other
SAMN23585376	Shoot tip	aerial_other
SAMN23585375	Shoot tip	aerial_other
SAMN23585374	Shoot tip	aerial_other
SAMN23585373	Shoot tip	aerial_other
SAMN23585372	Shoot tip	aerial_other
SAMN23585371	Shoot tip	aerial_other
SAMN23585370	Shoot tip	aerial_other
SAMN23585369	Shoot tip	aerial_other
SAMN23585368	Shoot tip	aerial_other
SAMN23585367	Shoot tip	aerial_other
SAMN23585366	Shoot tip	aerial_other
SAMN23585365	Shoot tip	aerial_other
