accession	tissue_raw	tissue_category
SAMN20462590	anther	aerial_other
SAMN20462589	anther	aerial_other
SAMN20462588	anther	aerial_other
SAMN20462587	anther	aerial_other
SAMN20462586	anther	aerial_other
SAMN20462585	anther	aerial_other
SAMN20462584	anther	aerial_other
SAMN20462583	anther	aerial_other
SAMN20462582	pollen	aerial_other
SAMN20462581	anther	aerial_other
SAMN20462580	anther	aerial_other
SAMN20462579	anther	aerial_other
SAMN20462578	anther	aerial_other
SAMN20462577	anther	aerial_other
SAMN20462576	anther	aerial_other
SAMN20462575	anther	aerial_other
SAMN20462574	anther	aerial_other
SAMN20462573	anther	aerial_other
SAMN26202176	leaves	leaf
SAMN26202175	leaves	leaf
SAMN26202174	leaves	leaf
SAMN26202173	leaves	leaf
SAMN26202172	leaves	leaf
SAMN26202171	leaves	leaf
SAMN04196536	Leaf	leaf
SAMN04196507	Leaf	leaf
SAMN27548479	Leaf	leaf
SAMN27548478	Leaf	leaf
SAMN27548477	Leaf	leaf
SAMN27548476	Leaf	leaf
SAMN27548475	Leaf	leaf
SAMN27548474	Leaf	leaf
SAMN27548473	Leaf	leaf
SAMN26939303	leaf	leaf
SAMN26939301	leaf	leaf
SAMN26939299	leaf	leaf
SAMN26939297	leaf	leaf
SAMN26939295	leaf	leaf
SAMN26939293	leaf	leaf
SAMN26939291	leaf	leaf
SAMN26939289	leaf	leaf
SAMN26939287	leaf	leaf
SAMN26939285	leaf	leaf
SAMN26939283	leaf	leaf
SAMN26939281	leaf	leaf
SAMN26939279	leaf	leaf
SAMN26939277	leaf	leaf
SAMN26939275	leaf	leaf
SAMN26939273	leaf	leaf
SAMN26939271	leaf	leaf
SAMN26939269	leaf	leaf
SAMN23644708	leaf	leaf
SAMN23644707	leaf	leaf
SAMN23644706	leaf	leaf
SAMN23644705	leaf	leaf
SAMN23644704	leaf	leaf
SAMN23644703	leaf	leaf
SAMN23644702	leaf	leaf
SAMN23644701	leaf	leaf
SAMN28671709	leaves	leaf
SAMN22335677	leaf and stem	leaf
SAMN18743189	Leaves	leaf
SAMN18743188	Leaves	leaf
SAMN18743187	Leaves	leaf
SAMN18743186	Leaves	leaf
SAMN18743185	Leaves	leaf
SAMN18743184	Leaves	leaf
SAMN18743183	Leaves	leaf
SAMN18743182	Leaves	leaf
SAMN28004774	petiole	aerial_other
SAMN28004773	petiole	aerial_other
SAMN28004772	petiole	aerial_other
SAMN28004771	petiole	aerial_other
SAMN28004770	petiole	aerial_other
SAMN28004769	petiole	aerial_other
SAMN18477549	stem	aerial_other
SAMN18477548	leaf	leaf
SAMN27734165	Floral bud	aerial_other
SAMN24503219	panicle	aerial_other
SAMN24503218	panicle	aerial_other
SAMN24503217	panicle	aerial_other
SAMN24503216	flag leaf	leaf
SAMN24503215	flag leaf	leaf
SAMN24503214	flag leaf	leaf
SAMN24503213	stem	aerial_other
SAMN24503212	stem	aerial_other
SAMN24503211	stem	aerial_other
SAMN24503207	leaf	leaf
SAMN24503206	leaf	leaf
SAMN24503205	leaf	leaf
SAMN24503204	stem	aerial_other
SAMN24503203	stem	aerial_other
SAMN24503202	stem	aerial_other
SAMN24451747	flower bud	aerial_other
SAMN24451746	flower bud	aerial_other
SAMN24451745	flower bud	aerial_other
SAMN24451744	flower bud	aerial_other
SAMN24451743	flower bud	aerial_other
SAMN24451742	flower bud	aerial_other
SAMN24451741	flower bud	aerial_other
