stratum	Run	mode	BioSample	BioProject	named_host	host_pct	euk_pct	fungi_pct	oomycete_pct	stat_pathogens	co_infection_flag	same_genus_secondary	llm_treatment	llm_study_setting	expected
B	SRR24162857	hal	SAMN34174564	PRJNA955234	Helianthus annuus		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR36930497	hal	SAMN54772828	PRJNA1406488	Rosa xanthina		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR10005149	hal	SAMN12607284	PRJNA561107	Ziziphus jujuba		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR28980729	hal	SAMN41272039	PRJNA1109454	Eriobotrya japonica		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR8279288	hal	SAMN10500398	PRJNA507457	Triticum dicoccoides		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR27341257	hal	SAMN39101768	PRJNA1056668	Pinus sylvestris var. mongolica		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR37245770	hal	SAMN55339995	PRJNA1423472	Trifolium pratense		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR29705317	hal	SAMN42272158	PRJNA1131149	Rosa rugosa		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR12777476	hal	SAMN16377604	PRJNA667543	Brassica rapa var. rapa		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR27849019	hal	SAMN39753130	PRJNA1072809	Pyrus communis		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR6453920	hal	SAMN08321372	PRJNA428769	Brassica napus var. pabularia		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	ERR11650695	hal	SAMEA113597964	PRJEB63995	Humulus lupulus var. lupulus		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	ERR3988226	hal	SAMEA6619819	PRJEB37020	Vitis vinifera subsp. sylvestris		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR1706194	hal	SAMN03261414	PRJNA269986	Vitis pseudoreticulata		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	ERR14155426	hal	SAMEA117610112	PRJEB83679	Fragaria x ananassa		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR31596155	hal	SAMN45157911	PRJNA1083332	Castanea sativa		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR30984899	hal	SAMN44279083	PRJNA1172678	Kalanchoe laxiflora		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR6451235	hal	SAMN08326445	PRJNA428949	Citrus sinensis		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR30792343	hal	SAMN43323609	PRJNA1151724	Vitis rotundifolia		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR31818556	hal	SAMN45918853	PRJNA1200917	Saccharum officinarum		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR8651443	hal	SAMN11037537	PRJNA524866	Pinus contorta var. latifolia		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR2924923	hal	SAMN04277432	PRJNA280020	Rosa multiflora		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR29446357	hal	SAMN41863468	PRJNA1124641	Malus pumila		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	DRR848449	hal	SAMD01769894	PRJDB38934	Prunus persica		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR14203567	hal	SAMN18696730	PRJNA721028	Actinidia chinensis		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR35979622	hal	SAMN53111925	PRJNA1358300	Lactuca sativa		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR31742966	hal	SAMN45846987	PRJNA1198617	Cichorium intybus		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR23370244	hal	SAMN29923272	PRJNA861686	Malus prunifolia		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	ERR8048658	hal	SAMEA12302964	PRJEB49273	Brassica oleracea var. gemmifera		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	ERR1191029	hal	SAMEA3708947	PRJEB12127	Gerbera hybrid cultivar		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR38250084	hal	SAMN57446595	PRJNA1457104	Beta vulgaris subsp. maritima		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	DRR260979	hal	SAMD00256400	PRJDB10747	Vitis x labruscana x Vitis vinifera		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	DRR243807	hal	SAMD00244898	PRJDB10521	Brassica rapa var. perviridis		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR30037285	hal	SAMN42911702	PRJNA1141931	Lilium sulphureum		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR30611610	hal	SAMN43553243	PRJNA1146230	Camellia sinensis var. assamica		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR34499390	hal	SAMN49918581	PRJNA1290382	Kalanchoe fedtschenkoi		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR26115010	hal	SAMN37473371	PRJNA1019087	Raphanus sativus var. sativus		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR1779199	hal	SAMN03301806	PRJNA273910	Cucumis melo		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR36236255	hal	SAMN53501769	PRJNA1371385	Castanea mollissima		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR18643198	hal	SAMN27335285	PRJNA823658	Vicia faba		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR35278697	hal	SAMN51192681	PRJNA1320984	Lilium brownii		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	ERR9827867	hal	SAMEA110005717	PRJEB53376	Kalanchoe pinnata		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	ERR12910675	hal	SAMEA115496067	PRJEB74997	Brassica rapa		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR24541065	hal	SAMN35068224	PRJNA972256	Triticum urartu		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR30037300	hal	SAMN42911688	PRJNA1141931	Lilium rosthornii		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR25109199	hal	SAMN36173924	PRJNA989562	Pinus sylvestris var. mongolica		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR407354	hal	SAMN00783927		Cucumis melo var. inodorus		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR18085310	hal	SAMN26090086	PRJNA807881	Triticum urartu		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR18908138	hal	SAMN27755368	PRJNA811341	Actinidia chinensis var. chinensis		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR12466209	hal	SAMN15846193	PRJNA657757	Malus domestica		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR8692571	hal	SAMN11080712	PRJNA525913	Capsicum annuum		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR12284177	hal	SAMN15596459	PRJNA647672	Averrhoa carambola		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR22299555	hal	SAMN31525163	PRJNA895833	Populus alba		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	DRR031995	hal	SAMD00028743	PRJDB3818	Pyrus pyrifolia var. culta		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	ERR11670120	hal	SAMEA113947025	PRJEB63995	Humulus lupulus		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR13197455	hal	SAMN16996201	PRJNA682541	Raphanus sativus var. sativus		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR36698361	hal	SAMN54453782	PRJNA1399089	Nicotiana tabacum		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR30043027	hal	SAMN42884726	PRJNA1141277	Helianthus annuus		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR22703110	hal	SAMN32185771	PRJNA911487	Rosa x damascena		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR9055929	hal	SAMN11523209	PRJNA540079	Castanea mollissima		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	DRR988608	hal	SAMD01887321	PRJDB40915	Raphanus sativus		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR7159525	hal	SAMN09197388	PRJNA471033	Brassica juncea		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR31721096	hal	SAMN45844514	PRJNA1198503	Oryza sativa tropical japonica subgroup		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR19199876	hal	SAMN28232356	PRJNA837909	Stylosanthes scabra		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR35278651	hal	SAMN51192659	PRJNA1320984	Lilium brownii		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR32909466	hal	SAMN47626505	PRJNA1243592	Brassica rapa Broccoletto Group		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR12405268	hal	SAMN15718939	PRJNA655799	Cucumis melo var. makuwa		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR7262836	hal	SAMN09355366	PRJNA474585	Medicago sativa		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR27759212	hal	SAMN39654739	PRJNA1070606	Vitis labrusca		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR26857880	hal	SAMN38274699	PRJNA1019120	Cucurbita pepo subsp. pepo		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR22703133	hal	SAMN32185776	PRJNA911487	Rosa odorata		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR3823907	hal	SAMN05357731	PRJNA328435	Prunus persica var. persica		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR1702486	hal	SAMN03153527	PRJNA267198	Lathyrus oleraceus subsp. oleraceus		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR29330613	hal	SAMN41760640	PRJNA1121615	Vitis vinifera x Vitis rotundifolia		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR33640655	hal	SAMN48625314	PRJNA1265656	Ageratina adenophora		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR15860440	hal	SAMN21399629	PRJNA762635	Averrhoa carambola		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR12990884	hal	SAMN16580607	PRJNA672906	Brassica rapa var. rapa		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR25080538	hal	SAMN36085463	PRJNA989401	Olea europaea		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR28612617	hal	SAMN40918507	PRJNA1098717	Citrus reticulata x Citrus trifoliata		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR25750748	hal	SAMN36987468	PRJNA1007400	Cucumis melo subsp. agrestis		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR24758210	hal	SAMN35449896	PRJNA977097	Acer truncatum		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR14795765	hal	SAMN19680556	PRJNA737128	Manihot esculenta		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR13423955	hal	SAMN16954464	PRJNA681478	Solanum torvum		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR31682106	hal	SAMN45699960	PRJNA1196921	Acer truncatum		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR7160357	hal	SAMN08934652	PRJNA450305	Medicago sativa		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR11887952	hal	SAMN15070130	PRJNA636274	Lilium regale		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	ERR1346600	hal	SAMEA2250784	PRJEB4992	Olea europaea subsp. europaea		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	DRR499816	hal	SAMD00639589	PRJDB16519	Ipomoea batatas		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR8698752	hal	SAMN11087564	PRJNA526120	Camellia oleifera		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR13341802	hal	SAMN17201852	PRJNA689213	Citrus sinensis		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR14162031	hal	SAMN16709988	PRJNA675616	Arachis hypogaea subsp. hypogaea		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR24282042	hal	SAMN34337702	PRJNA960884	Daucus carota		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR27535013	hal	SAMN39401249	PRJNA1063590	Lilium brownii		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR31173774	hal	SAMN44512167	PRJNA1180065	Piper nigrum		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR25015155	hal	SAMN35883841	PRJNA987043	Brassica rapa		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR17134280	hal	SAMN23644689	PRJNA786293	Lathyrus oleraceus		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR22425856	hal	SAMN31888447	PRJNA905931	Citrus trifoliata		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR30037234	hal	SAMN42911719	PRJNA1141931	Lilium sulphureum		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR31908823	hal	SAMN46116497	PRJNA1207106	Citrus maxima		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR4423875	hal	SAMN05908827	PRJNA348468	Citrus x limon		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	ERR11534311	hal	SAMEA113568562	PRJEB62793	Beta vulgaris subsp. vulgaris		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR23095499	hal	SAMN32758705	PRJNA924350	Citrus sinensis		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR11746212	hal	SAMN14867955	PRJNA631357	Linum usitatissimum		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR39263428	hal	SAMN60941356	PRJNA1479102	Lilium leichtlinii subsp. maximowiczii		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR8139223	hal	SAMN10352925	PRJNA503127	Rosa roxburghii		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR13569305	hal	SAMN17575015	PRJNA694809	Actinidia eriantha		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR25383346	hal	SAMN36673513	PRJNA997265	Lolium arundinaceum		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR14934134	hal	SAMN19523760	PRJNA732216	Camellia oleifera		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR8446741	hal	SAMN10754252	PRJNA515366	Piper nigrum		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR2954748	hal	SAMN04286683	PRJNA303133	Camellia sinensis var. assamica		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR5753845	hal	SAMN07274428	PRJNA391707	Zea mays subsp. parviglumis		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	DRR014766	hal	SAMD00011072	PRJDB707	Raphanus sativus		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR27339976	hal	SAMN39001654	PRJNA1055425	Malus pumila		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR18934621	hal	SAMN27863381	PRJNA832489	Mangifera indica		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR27960025	hal	SAMN39938110	PRJNA1076240	Brassica oleracea var. italica		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR27759221	hal	SAMN39654731	PRJNA1070606	Vitis labrusca		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	ERR8048705	hal	SAMEA12303011	PRJEB49273	Brassica oleracea var. gemmifera		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR19139454	hal	SAMN28156098	PRJNA836261	Citrus sinensis		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR10353557	hal	SAMN12842419	PRJNA574168	Citrus x aurantiifolia		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR12278121	hal	SAMN15566264	PRJNA646818	Solanum lycopersicum		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR7006133	hal	SAMN08512147	PRJNA432894	Musa ABB Group		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR34402011	hal	SAMN49813281	PRJNA1287125	Citrus x changshan-huyou		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR32120104	hal	SAMN46410669	PRJNA1215525	Ziziphus jujuba		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR6186664	hal	SAMN07808864	PRJNA414720	Rosa lucieae		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	ERR17369634	hal	SAMEA122739869		Vitis sp.		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR32584751	hal	SAMN47198424	PRJNA1231020	Citrus sunki x Citrus trifoliata		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR26936910	hal	SAMN38392841	PRJNA1044445	Citrus hindsii		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	ERR14694495	hal	SAMEA117793122	PRJEB86494	Brassica oleracea		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR32909473	hal	SAMN47626512	PRJNA1243592	Brassica rapa Broccoletto Group		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR18682792	hal	SAMN27410105	PRJNA824658	Castanea mollissima		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR9039914	hal	SAMN11618022	PRJNA542241	Camellia sinensis		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	ERR10496454	hal	SAMEA112124682	PRJEB57570	Avena sativa		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR12399985	hal	SAMN15693838	PRJNA650146	Setaria italica		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR5279501	hal	SAMN06361573	PRJNA376188	Malus domestica		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR25269002	hal	SAMN36410594	PRJNA993855	Actinidia chinensis		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR8089773	hal	SAMN10273006	PRJNA497951	Castanea mollissima		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR13508794	hal	SAMN12815614	PRJNA544934	Brassica oleracea var. italica		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR8279269	hal	SAMN10500385	PRJNA507457	Triticum dicoccoides		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR18111240	hal	SAMN26107353	PRJNA808810	Camellia sinensis var. assamica		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR27460127	hal	SAMN38924203	PRJNA1054530	Olea europaea		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR6454020	hal	SAMN08321285	PRJNA428769	Brassica napus var. napus		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR33976993	hal	SAMN49001694	PRJNA1274833	Musa AAB Group		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR11102003	hal	SAMN14125124	PRJNA607105	Vitis pseudoreticulata		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR28607149	hal	SAMN40887280	PRJNA1096832	Ageratina adenophora		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	ERR9901801	hal	SAMEA110233727	PRJEB54019	Brassica napus		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR10135071	hal	SAMN12758890	PRJNA565689	Vitis thunbergii x Vitis vinifera		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR34367680	hal	SAMN49787258	PRJNA1279608	Raphanus sativus var. sativus		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR10135437	hal	SAMN12758560	PRJNA565689	Vitis quinquangularis		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR26335369	hal	SAMN37749097	PRJNA1026526	Lathyrus oleraceus subsp. biflorus		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR9593690	hal	SAMN11935843	PRJNA545864	Citrus reticulata		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR5458565	hal	SAMN06767124	PRJNA383554	Lilium maculatum		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	ERR768567	hal	SAMEA2612290	PRJEB6342	Citrus x clementina		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR24764136	hal	SAMN35528885	PRJNA977635	Gossypium barbadense		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR27062695	hal	SAMN38649628	PRJNA1047966	Brassica oleracea var. gongylodes		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR21896098	hal	SAMN31275115	PRJNA890283	Citrus jambhiri		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR15205265	hal	SAMN20337561	PRJNA748559	Beta vulgaris subsp. vulgaris		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR35278705	hal	SAMN51192674	PRJNA1320984	Lilium brownii		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	DRR892656	hal	SAMD01787831	PRJDB39879	Vitis x labruscana x Vitis vinifera		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR11573007	hal	SAMN14641713	PRJNA626460	Prunus persica		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR30317717	hal	SAMN43206289	PRJNA1148509	Vitis vinifera subsp. sylvestris		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR37532118	hal	SAMN56320923	PRJNA1431751	Citrus medica		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR29752384	hal	SAMN42326478	PRJNA1131915	Brassica oleracea var. gongylodes		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR34499364	hal	SAMN49918604	PRJNA1290382	Kalanchoe fedtschenkoi		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	ERR2576977	hal	SAMEA4659746	PRJEB26324	Capsicum annuum var. glabriusculum		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	ERR6212347	hal	SAMEA8961873	PRJEB46163	Vitis vinifera subsp. sylvestris		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR27787262	hal	SAMN39673901	PRJNA1071085	Zea mays subsp. parviglumis		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	DRR264946	hal	SAMD00267474	PRJDB10988	Brassica rapa subsp. nipposinica		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR17317300	hal	SAMN24295143	PRJNA791552	Citrus wilsonii		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	DRR751370	hal	SAMD01688594	PRJDB37649	Oryza sativa temperate japonica subgroup		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR11088971	hal	SAMN14112340	PRJNA606742	Vitis hybrid cultivar		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	ERR9040449	hal	SAMEA13251306	PRJEB51241	Arabidopsis thaliana		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR19619628	hal	SAMN28963117	PRJNA847928	Cucumis sativus		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR22890572	hal	SAMN32359784	PRJNA914878	Vitis		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR33616593	hal	SAMN48577448	PRJNA1264712	Brassica rapa subsp. pekinensis		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR3938601	hal	SAMN05277445	PRJNA326055	Olea europaea subsp. europaea		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR9127861	hal	SAMN11862471	PRJNA544826	Cucumis melo subsp. melo		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR9202421	hal	SAMN11952482	PRJNA546115	Brassica rapa subsp. narinosa		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR12012227	hal	SAMN15228320	PRJNA639211	Colocasia esculenta		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
B	SRR18856608	hal	SAMN27725335	PRJNA830488	Litchi chinensis		0.0	0.0	0.0		False	False			0% fungi/oomycete (plant host, no pathogen)
