stratum	Run	mode	BioSample	BioProject	named_host	host_pct	euk_pct	fungi_pct	oomycete_pct	stat_pathogens	co_infection_flag	same_genus_secondary	llm_treatment	llm_study_setting	expected
G	SRR36134808	hal	SAMN53318876	PRJNA1366519	Hordeum vulgare	54.24	3.59	3.59	0.0	Fusarium graminearum:1.1%	single	False	coinf_experiment	lab	intentional co-infection experiment
G	SRR10406071	mal	SAMN12098061	PRJNA588102	Triticum aestivum	79.98	0.87	0.87	0.0	Puccinia striiformis f. sp. tritici:0.7%	single	False	coinf_experiment	lab	intentional co-infection experiment
G	SRR10406076	mal	SAMN12098061	PRJNA588102	Triticum aestivum	75.31	1.9	1.9	0.0	Puccinia striiformis f. sp. tritici:1.4%; Puccinia graminis f. sp. tritici:0.2%	multi_species	True	coinf_experiment	lab	intentional co-infection experiment
G	ERR6842718	hal	SAMEA10201913	PRJEB47779	Brassica napus	53.45	8.82	8.82	0.0	Plenodomus lingam:5.7%	single	False	coinf_experiment	lab	intentional co-infection experiment
G	ERR15114480	hal	SAMEA118547630		Hordeum vulgare	67.52	5.99	5.99	0.0	Fusarium proliferatum:1.5%	single	False	coinf_experiment	unclear	intentional co-infection experiment
G	SRR22139839	mal	SAMN31571469	PRJNA895362	Citrus sinensis	54.55	0.0	0.0	0.0		single	False	coinf_experiment	unclear	intentional co-infection experiment
G	DRR217277	hal	SAMD00212264	PRJDB9515	Arabidopsis thaliana	29.2	62.44	62.44	0.0	Colletotrichum siamense:0.2%	single	False	coinf_experiment	lab	intentional co-infection experiment
G	ERR6842714	hal	SAMEA10201909	PRJEB47779	Brassica napus	87.79	1.67	1.67	0.0	Plenodomus lingam:1.2%	single	False	coinf_experiment	lab	intentional co-infection experiment
G	SRR36134914	hal	SAMN53318924	PRJNA1366519	Hordeum vulgare	50.88	5.02	5.02	0.0	Fusarium graminearum:1.4%	single	False	coinf_experiment	lab	intentional co-infection experiment
G	SRR32589262	mal	SAMN47240510	PRJNA1232637	Triticum aestivum	51.37	0.0	0.0	0.0		single	False	coinf_experiment	lab	intentional co-infection experiment
G	SRR35931052	hal	SAMN53062540	PRJNA1356531	Triticum aestivum	80.44	8.54	8.43	0.11	Fusarium graminearum:4.4%	single	False	coinf_experiment	lab	intentional co-infection experiment
G	SRR631016	mal	SAMN01831107		Arabidopsis thaliana	69.63	0.0	0.0	0.0		single	False	coinf_experiment	unclear	intentional co-infection experiment
G	DRR217276	hal	SAMD00212263	PRJDB9515	Arabidopsis thaliana	35.64	56.17	56.17	0.0	Colletotrichum gloeosporioides:26.0%; Colletotrichum siamense:0.2%	multi_species	True	coinf_experiment	lab	intentional co-infection experiment
I	SRR35396722	hal	SAMN51337096	PRJNA1328502	Hordeum vulgare	42.92	3.29	3.29	0.0	Puccinia triticina:1.6%; Puccinia striiformis:0.3%	multi_species	True	coinf_experiment	lab	same-genus secondary (LCA collapse test)
I	SRR27466765	hal	SAMN39191612	PRJNA1058883	Stylosanthes guianensis	33.91	17.37	17.37	0.0	Colletotrichum siamense:2.6%; Colletotrichum gloeosporioides:0.6%	multi_species	True	coinf_experiment	lab	same-genus secondary (LCA collapse test)
G	SRR22139843	mal	SAMN31571465	PRJNA895362	Citrus sinensis	4.67	4.18	4.18	0.0		single	False	coinf_experiment	unclear	intentional co-infection experiment
G	SRR37215790	hal	SAMN55332970	PRJNA1423152	Triticum aestivum	85.12	8.22	8.22	0.0	Fusarium graminearum:3.4%	single	False	coinf_experiment	lab	intentional co-infection experiment
G	SRR16930843	mal	SAMN22502886	PRJNA773642	Apium graveolens	12.01	0.0	0.0	0.0		single	False	coinf_experiment	lab	intentional co-infection experiment
G	SRR16930846	mal	SAMN22502883	PRJNA773642	Daucus carota	3.43	0.0	0.0	0.0		single	False	coinf_experiment	lab	intentional co-infection experiment
G	SRR35931053	hal	SAMN53062541	PRJNA1356531	Triticum aestivum	80.68	8.34	8.22	0.12	Fusarium graminearum:4.3%	single	False	coinf_experiment	lab	intentional co-infection experiment
I	SRR36134803	hal	SAMN53318828	PRJNA1366519	Hordeum vulgare	50.4	7.23	7.23	0.0	Fusarium graminearum:1.8%; Fusarium pseudograminearum:0.5%	multi_species	True	coinf_experiment	lab	same-genus secondary (LCA collapse test)
G	DRR217275	hal	SAMD00212262	PRJDB9515	Arabidopsis thaliana	40.32	52.04	52.04	0.0	Colletotrichum gloeosporioides:24.0%	single	False	coinf_experiment	lab	intentional co-infection experiment
G	SRR517953	mal	SAMN01085327		Arabidopsis thaliana	69.42	0.0	0.0	0.0		single	False	coinf_experiment	unclear	intentional co-infection experiment
G	SRR21798524	hal	SAMN31147671		Arabidopsis thaliana	66.34	30.62	30.62	0.0	Sclerotinia sclerotiorum:29.9%	single	False	coinf_experiment	unclear	intentional co-infection experiment
G	SRR631014	mal	SAMN01831107		Arabidopsis thaliana	70.33	0.0	0.0	0.0		single	False	coinf_experiment	unclear	intentional co-infection experiment
G	ERR6842717	hal	SAMEA10201912	PRJEB47779	Brassica napus	12.19	10.59	10.59	0.0	Plenodomus lingam:3.6%	single	False	coinf_experiment	lab	intentional co-infection experiment
G	SRR619850	mal	SAMN01818697		Triticum aestivum	4.99	0.24	0.24	0.0		single	False	coinf_experiment	unclear	intentional co-infection experiment
G	SRR631015	mal	SAMN01831107		Arabidopsis thaliana	69.67	0.0	0.0	0.0		single	False	coinf_experiment	unclear	intentional co-infection experiment
G	DRR842308	hal	SAMD01763099		Triticum turgidum subsp. durum	78.85	12.41	12.41	0.0	Fusarium fujikuroi:0.4%	single	False	coinf_experiment	unclear	intentional co-infection experiment
G	SRR36134882	hal	SAMN53318859	PRJNA1366519	Hordeum vulgare	59.81	4.14	4.14	0.0	Fusarium graminearum:1.2%	single	False	coinf_experiment	lab	intentional co-infection experiment
I	SRR35396721	hal	SAMN51337097	PRJNA1328502	Hordeum vulgare	44.56	2.76	2.76	0.0	Puccinia graminis:0.5%; Puccinia striiformis:0.3%	multi_species	True	coinf_experiment	lab	same-genus secondary (LCA collapse test)
G	DRR842317	hal	SAMD01763108		Triticum dicoccoides	92.83	2.0	2.0	0.0	Bipolaris sorokiniana:1.1%	single	False	coinf_experiment	unclear	intentional co-infection experiment
G	DRR832827	hal	SAMD01771654		Solanum tuberosum	54.81	39.34	0.24	39.1	Phytophthora infestans:37.5%	single	False	coinf_experiment	unclear	intentional co-infection experiment
G	SRR10406084	mal	SAMN12098061	PRJNA588102	Triticum aestivum	25.22	0.0	0.0	0.0		single	False	coinf_experiment	lab	intentional co-infection experiment
G	SRR22139847	mal	SAMN31571462	PRJNA895362	Citrus sinensis	16.06	0.0	0.0	0.0		single	False	coinf_experiment	unclear	intentional co-infection experiment
G	SRR32174728	mal	SAMN46419767	PRJNA1216589	Solanum tuberosum	92.97	0.0	0.0	0.0		single	False	coinf_experiment	lab	intentional co-infection experiment
G	SRR10406080	mal	SAMN12098061	PRJNA588102	Triticum aestivum	37.14	3.63	3.63	0.0		single	False	coinf_experiment	lab	intentional co-infection experiment
G	DRR839507	hal	SAMD01757497		Triticum aestivum	54.69	31.85	31.85	0.0	Fusarium graminearum:11.0%	single	False	coinf_experiment	unclear	intentional co-infection experiment
H	ERR4315329	mal	SAMEA7035971	PRJEB39201	Triticum aestivum	18.88	3.74	3.74	0.0	Zymoseptoria tritici:3.2%	multi_species	False	surveillance	field	HC field co-infected, diff-genus
H	SRR7195194	hal	SAMN09236908	PRJNA472465	Zea mays	90.92	2.79	2.79	0.0	Alternaria alternata:2.1%; Bipolaris zeicola:0.1%	multi_species	False	host_study	field	HC field co-infected, diff-genus
H	ERR4315658	mal	SAMEA7036301	PRJEB39201	Triticum aestivum	27.17	1.72	1.72	0.0	Alternaria alternata:0.3%; Pyrenophora tritici-repentis:0.1%	multi_species	False	surveillance	field	HC field co-infected, diff-genus
H	ERR4315522	mal	SAMEA7036164	PRJEB39201	Triticum aestivum	7.8	5.66	5.66	0.0	Parastagonospora nodorum:0.1%	multi_species	False	surveillance	field	HC field co-infected, diff-genus
H	ERR3170264	mal	SAMEA5366386	PRJEB31334	Triticum aestivum	10.08	4.1	4.1	0.0	Puccinia striiformis:1.4%; Puccinia striiformis f. sp. tritici:0.9%; Parastagonospora nodorum:0.3%	multi_species	False	single	field	HC field co-infected, diff-genus
