name	kingdom	n_primary	n_secondary	total	top_host
Pea seed-borne mosaic virus	Viruses	0	1	1	Solanum tuberosum
Peanut mottle virus	Viruses	27	19	46	Arachis hypogaea
Peanut mottle virus (strain M)	Viruses	0	7	7	Arachis hypogaea
Peanut stripe virus	Viruses	0	46	46	Arachis hypogaea
Pectobacterium brasiliense	Bacteria	1	57	58	Helianthus annuus subsp. annuus
Pelamoviroid latenspruni	Viruses	0	5	5	Prunus persica
Penicillium digitatum	Fungi	0	10	10	Malus domestica
Penicillium expansum	Fungi	13	6	19	Malus domestica
Pennisetum mosaic virus	Viruses	0	2	2	Zea mays
Pepper mild mottle virus	Viruses	2	0	2	Capsicum annuum
Pepper mottle virus	Viruses	0	1	1	Capsicum annuum
Pepper vein yellows virus	Viruses	0	2	2	Capsicum annuum
Pepper veinal mottle virus	Viruses	0	2	2	Capsicum annuum
Phytophthora capsici	Oomycota	14	0	14	Capsicum annuum
Phytophthora infestans	Oomycota	0	19	19	Capsicum annuum
Phytophthora nicotianae	Oomycota	0	5	5	Solanum lycopersicum
Phytophthora parasitica	Oomycota	3	2	5	Panax ginseng
Phytophthora sojae	Oomycota	4	2	6	Arabidopsis thaliana
Plasmopara viticola	Oomycota	2	0	2	Vitis vinifera
Polerovirus TUYV	Viruses	0	1	1	Lathyrus oleraceus
Potato black ringspot virus	Viruses	0	3	3	Cucumis sativus
Potato leafroll virus	Viruses	0	7	7	Solanum tuberosum
Potato virus A	Viruses	0	2	2	Solanum tuberosum
Potato virus H	Viruses	1	4	5	Solanum tuberosum
Potato virus M	Viruses	2	1	3	Solanum tuberosum
Potato virus S	Viruses	20	3	23	Solanum tuberosum
Potato virus V	Viruses	0	7	7	Solanum tuberosum
Potato virus X	Viruses	1	0	1	Solanum tuberosum
Potato virus Y	Viruses	4	8	12	Solanum tuberosum
Potato virus Y strain N	Viruses	0	1	1	Solanum tuberosum
Potexvirus citriflavivenae	Viruses	1	0	1	Citrus reticulata
Potexvirus citrindicum	Viruses	1	1	2	Citrus reticulata
Potyvirus arachidis	Viruses	3	0	3	Arachis hypogaea
Potyvirus capsivenamaculae	Viruses	2	1	3	Capsicum annuum
Potyvirus citrulli	Viruses	2	3	5	Cucurbita pepo subsp. pepo
Potyvirus cucurbitaflavitesselati	Viruses	2	2	4	Cucurbita pepo subsp. pepo
Potyvirus glycitessellati	Viruses	1	0	1	Glycine max
Potyvirus phaseoluteum	Viruses	0	6	6	Lathyrus oleraceus
Potyvirus phaseovulgaris	Viruses	0	3	3	Arachis hypogaea
Potyvirus pisumsemenportati	Viruses	0	7	7	Lathyrus oleraceus
