BioProject	search	text	outcome
PRJNA531296	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJDB39419	No DOI found	No DOI	No full text available
PRJNA1015022	No DOI found	No DOI	No full text available
PRJNA977839	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA1129295	Web search	Manual PDF	Full text retrieved
PRJNA1195373	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA918399	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA477359	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA695871	No DOI found	No DOI	No full text available
PRJEB39308	No DOI found	No DOI	No full text available
PRJNA1424250	No DOI found	No DOI	No full text available
PRJNA1465640	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA321917	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA508768	Web search	Unpaywall PDF	Full text retrieved
PRJNA733070	No DOI found	No DOI	No full text available
PRJNA1240218	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA1022321	Web search	PMC OA	Full text retrieved
PRJNA1148431	No DOI found	No DOI	No full text available
PRJNA530033	No DOI found	No DOI	No full text available
PRJNA265955	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA562996	No DOI found	No DOI	No full text available
PRJNA563186	Web search	Unpaywall PDF	Full text retrieved
