BioProject	search	text	outcome
PRJNA1031822	No DOI found	No DOI	No full text available
PRJNA336478	Web search	Manual PDF	Full text retrieved
PRJNA1452279	No DOI found	No DOI	No full text available
PRJNA297400	NCBI (PMID)	PMC OA	Full text retrieved
PRJEB32362	No DOI found	No DOI	No full text available
PRJNA1108353	No DOI found	No DOI	No full text available
PRJNA441162	No DOI found	No DOI	No full text available
PRJNA739093	No DOI found	No DOI	No full text available
PRJNA383862	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA419480	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA646633	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA392846	No DOI found	No DOI	No full text available
PRJNA473305	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA311604	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA774504	No DOI found	No DOI	No full text available
PRJNA804666	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA408470	No DOI found	No DOI	No full text available
PRJNA1166635	Web search	Manual PDF	Full text retrieved
PRJNA1017666	No DOI found	No DOI	No full text available
PRJNA408469	No DOI found	No DOI	No full text available
PRJNA169154	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA819263	No DOI found	No DOI	No full text available
PRJNA307612	No DOI found	No DOI	No full text available
PRJNA1007488	No DOI found	No DOI	No full text available
PRJNA373353	No DOI found	No DOI	No full text available
PRJNA1435232	No DOI found	No DOI	No full text available
PRJNA373354	No DOI found	No DOI	No full text available
PRJEB39756	Web search	Manual PDF	Full text retrieved
PRJNA985902	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA379426	No DOI found	No DOI	No full text available
PRJNA604447	No DOI found	No DOI	No full text available
PRJNA1111437	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA987192	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA994854	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1082681	No DOI found	No DOI	No full text available
PRJNA358831	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA296894	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA408459	No DOI found	No DOI	No full text available
PRJNA329579	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA552738	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA297402	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA407475	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA325493	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA320364	No DOI found	No DOI	No full text available
PRJNA1405621	Web search	Manual PDF	Full text retrieved
PRJNA278013	No DOI found	No DOI	No full text available
PRJNA373348	No DOI found	No DOI	No full text available
PRJNA391093	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA861388	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA230463	No DOI found	No DOI	No full text available
PRJNA296349	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA669466	No DOI found	No DOI	No full text available
PRJNA1110723	No DOI found	No DOI	No full text available
PRJEB19257	Web search	Manual PDF	Full text retrieved
PRJNA637660	Web search	Manual PDF	Full text retrieved
PRJNA408464	No DOI found	No DOI	No full text available
