BioProject	doi
PRJNA757130	10.3389/fpls.2021.736560
PRJNA757397	10.3389/fpls.2022.917493
PRJNA757692	10.3390/microorganisms10020343
PRJNA757744	10.3389/fpls.2021.725571
PRJNA759653	10.3390/jof7100825
PRJNA759756	10.1101/2022.08.19.504540
PRJNA761393	10.3389/fpls.2024.1439020
PRJNA761556	10.3389/fpls.2022.888939
PRJNA762085	10.1093/plphys/kiac408
PRJNA763324	10.1111/ppl.14600
PRJNA763773	10.3390/ijms232315246
PRJNA764088	10.1111/mec.16505
PRJNA764923	10.1038/s42003-021-02740-8
PRJNA766564	10.1371/journal.pone.0261102
PRJNA767817	10.3389/fpls.2021.761446
PRJNA773642	10.3390/plants11151951
PRJNA775969	10.3389/fpls.2022.804104
PRJNA776278	10.3389/fpls.2022.820767
PRJNA778051	10.1016/j.pmpp.2026.103449
PRJNA778182	10.1093/plphys/kiac552
PRJNA780342	10.3389/fgene.2022.853910
PRJNA782220	10.1016/j.foodchem.2020.127550
PRJNA782344	10.3390/genes13050788
PRJNA787080	10.3389/fpls.2022.888519
PRJNA787359	10.1186/s12864-022-08788-y
PRJNA789389	10.1094/PHYTO-08-21-0329-R
PRJNA791339	10.3389/fpls.2022.836269
PRJNA793045	10.1186/s13059-023-02891-3
PRJNA796936	10.3390/v15020401
PRJNA798863	10.3390/plants11212883
PRJNA799026	10.7150/ijbs.70287
PRJNA799676	10.3390/jof11050397
PRJNA802726	10.1094/PHYTOFR-01-23-0003-R
PRJNA803733	10.1371/journal.ppat.1010860
PRJNA804213	10.1007/s00122-022-04129-5
PRJNA804666	10.1038/s41598-025-02572-0
PRJNA808232	10.1007/s00122-022-04129-5
PRJNA808246	10.1007/s42161-022-01235-7
PRJNA809650	10.3390/jof8060606
PRJNA810452	10.1128/msystems.00248-22
PRJNA810908	10.1038/s41598-025-21482-9
PRJNA810958	10.1093/plphys/kiad150
PRJNA811762	10.1111/ppa.13597
PRJNA813432	10.1002/advs.202518591
PRJNA818435	10.1094/MPMI-07-22-0153-R
PRJNA819072	10.1038/s41467-023-36248-y
PRJNA819185	10.3390/ijms23094702
PRJNA819267	10.1016/j.celrep.2022.111877
PRJNA819278	10.1016/j.celrep.2022.111877
PRJNA824616	10.3389/fmicb.2022.924313
PRJNA828454	10.1111/tpj.15630
PRJNA832802	10.3389/fmicb.2022.923281
PRJNA832871	10.3390/jof8100998
PRJNA836253	10.3389/fpls.2023.1212135
PRJNA836737	10.1111/plb.13746
PRJNA838764	10.1186/s13059-025-03694-4
PRJNA838787	10.3389/fpls.2022.1011064
PRJNA839539	10.3389/fpls.2022.979585
PRJNA839570	10.1016/j.foodres.2022.111972
PRJNA841073	10.3390/jof8070672
PRJNA841838	10.1093/plphys/kiac572
PRJNA842515	10.3389/fpls.2022.961586
PRJNA842823	10.3389/fpls.2022.926621
PRJNA843784	10.3389/fpls.2022.972791
PRJNA844585	10.1111/mpp.13301
PRJNA847036	10.3390/biology13060441
PRJNA849030	10.1128/mbio.02442-22
PRJNA850847	10.1016/j.stress.2024.100676
PRJNA850943	10.3389/fpls.2022.980587
PRJNA853492	10.3389/fmicb.2022.1001327
PRJNA853857	10.3390/ijms231810236
PRJNA854212	10.1128/spectrum.00754-23
PRJNA857179	10.1186/s42483-022-00144-y
PRJNA858969	10.1038/s41598-022-22660-9
PRJNA859548	10.3389/fmicb.2022.1074592
PRJNA861388	10.2147/IDR.S374335
PRJNA862687	10.3390/plants11212807
PRJNA863277	10.3390/microorganisms10122414
PRJNA86753	10.1111/mpp.13309
PRJNA868504	10.3389/fmicb.2022.1002976
PRJNA869950	10.1093/plcell/koac300
PRJNA870250	10.1007/s13205-023-03803-9
PRJNA870298	10.1186/s12915-023-01513-5
PRJNA872313	10.1128/mbio.00629-23
PRJNA874673	10.3390/ijms24054376
PRJNA883377	10.1111/mpp.70076
PRJNA884711	10.3390/ijms232113589
PRJNA886841	10.3389/fpls.2022.1055277
PRJNA892450	10.3389/fpls.2022.1081948
PRJNA892753	10.3390/ijms24031812
PRJNA893261	10.3389/fpls.2023.1129515
PRJNA893349	10.3389/fpls.2022.1037030
PRJNA895362	10.3389/fpls.2022.1058847
PRJNA896484	10.3390/ijms24043499
PRJNA896566	10.1093/plphys/kiad460
PRJNA896582	10.1038/s41467-025-63632-7
PRJNA899438	10.1038/s41598-023-33335-4
PRJNA900521	10.3389/fpls.2024.1449826
PRJNA901343	10.3389/fpls.2022.1073856
PRJNA904271	10.1038/s41467-023-43178-2
PRJNA904717	10.1186/s12915-023-01513-5
PRJNA906029	10.3389/fpls.2022.1110910
PRJNA908908	10.1371/journal.pone.0315458
PRJNA909570	10.3389/fgene.2023.1166832
PRJNA910335	10.1111/ppa.14111
PRJNA911470	10.3390/ijms241914840
PRJNA911587	10.21203/rs.3.rs-7624510/v1
PRJNA918399	10.1186/s12915-023-01520-6
PRJNA918425	10.1111/mpp.13391
PRJNA925193	10.1093/g3journal/jkad125
PRJNA926628	10.1093/jxb/erad348
PRJNA926806	10.3390/jof6040314
PRJNA926886	10.1186/s12870-023-04331-7
PRJNA932159	10.3389/fmicb.2024.1418816
PRJNA932210	10.3390/ijms24108705
PRJNA934741	10.3390/jof10110805
PRJNA935025	10.1186/s12870-025-06505-x
PRJNA936260	10.3389/fpls.2023.1156514
PRJNA936832	10.3389/fpls.2023.1140824
PRJNA938065	10.1038/s41467-023-42522-w
PRJNA938609	10.1186/s12870-024-05020-9
PRJNA938757	10.1093/femsmc/xtad025
PRJNA944941	10.1111/pce.15037
PRJNA946259	10.1093/hr/uhad101
PRJNA950118	10.1186/s12915-023-01717-9
PRJNA952825	10.1186/s12864-025-11995-y
PRJNA953858	10.1038/s41588-025-02281-4
PRJNA956133	10.1007/s44154-023-00109-x
PRJNA956666	10.3390/ijms25031492
PRJNA956871	10.3390/ijms24119440
PRJNA957932	10.3390/plants15121772
PRJNA957941	10.1016/j.plaphy.2025.109648
PRJNA960915	10.1186/s12864-025-12326-x
PRJNA961054	10.1128/MRA.00344-23
PRJNA961939	10.3390/plants12112139
PRJNA971132	10.1073/pnas.2418766122
PRJNA971242	10.1038/s41598-024-54355-8
PRJNA975738	10.1038/s41467-023-43442-5
PRJNA976033	10.3390/ijms24119351
PRJNA976214	10.3389/fpls.2023.1299461
PRJNA977635	10.3389/fgene.2023.1271200
PRJNA977839	10.1093/jxb/erae050
PRJNA979257	10.1111/nph.19448
PRJNA979975	10.1111/nph.19604
PRJNA980182	10.3389/fpls.2026.1896320
PRJNA980895	10.1126/sciadv.adt1113
PRJNA982974	10.1186/s12870-026-08540-8
PRJNA983310	10.1371/journal.pgen.1011052
PRJNA985902	10.3390/ijms252111375
PRJNA986440	10.3390/plants12152793
PRJNA986524	10.1038/s41477-025-02210-7
PRJNA986958	10.3390/ijms25010591
PRJNA987192	10.1093/hr/uhae094
PRJNA988279	10.3389/fpls.2023.1242463
PRJNA994854	10.1038/s42003-024-06798-y
PRJNA996293	10.1128/spectrum.02340-23
PRJNA997093	10.1101/2026.03.24.712282
PRJNA998097	10.1016/j.stress.2024.100708
