BioProject	doi
PRJNA1156254	10.1111/pce.15622
PRJNA1156920	10.1016/j.celrep.2024.114817
PRJNA1158549	10.1186/s12915-024-02043-4
PRJNA1160434	10.1016/j.molp.2025.07.008
PRJNA1161467	10.1016/j.molp.2024.09.006
PRJNA1162778	10.1128/mbio.03468-25
PRJNA1164193	10.1128/spectrum.00226-25
PRJNA1166635	10.1111/tpj.70472
PRJNA1170567	10.3390/ijms252413244
PRJNA1171632	10.1126/sciadv.adv1760
PRJNA1173795	10.1016/j.pmpp.2025.102965
PRJNA1177658	10.3389/fpls.2025.1554036
PRJNA1181034	10.1186/s12864-026-12964-9
PRJNA1181513	10.1126/science.adl5764
PRJNA1183537	10.3389/fpls.2025.1537605
PRJNA1187605	10.1093/g3journal/jkaf084
PRJNA1188982	10.1073/pnas.2500029122
PRJNA1189193	10.1016/j.plaphy.2025.109874
PRJNA1190367	10.1038/s41467-026-69532-8
PRJNA1191549	10.1186/s12870-024-05903-x
PRJNA1193783	10.3389/fmicb.2025.1546583
PRJNA1195373	10.1002/imt2.70029
PRJNA1195871	10.1101/gr.280359.124
PRJNA1196143	10.1021/acs.jafc.5c01032
PRJNA1200603	10.1111/nph.71146
PRJNA1202856	10.1111/jipb.70241
PRJNA1203036	10.1016/j.ijfoodmicro.2026.111635
PRJNA1203070	10.3390/ijms26020640
PRJNA1203203	10.1038/s41588-025-02294-z
PRJNA1203349	10.1186/s12870-025-06405-0
PRJNA1203667	10.1093/ve/veag010
PRJNA1207595	10.1101/2025.05.26.656185
PRJNA1211198	10.1016/j.cub.2026.01.001
PRJNA1211507	10.3390/jof11020124
PRJNA1214325	10.1016/j.molp.2026.01.005
PRJNA1215988	10.3389/fmicb.2025.1639396
PRJNA1216589	10.1186/s12870-025-06565-z
PRJNA1216614	10.1093/plcell/koaf233
PRJNA1217477	10.1073/pnas.2601719123
PRJNA1219206	10.1007/s42161-025-01986-z
PRJNA1220327	10.1101/2025.03.27.645716
PRJNA1221348	10.3389/fpls.2025.1537921
PRJNA1221773	10.1016/j.cub.2026.01.001
PRJNA1226203	10.1016/j.xplc.2025.101542
PRJNA1231252	10.1038/s42003-026-10018-0
PRJNA1232637	10.3390/pathogens14111087
PRJNA1237933	10.1094/PDIS-03-25-0599-PDN
PRJNA1237996	10.3389/fpls.2025.1628068
PRJNA1240218	10.1016/j.celrep.2025.115772
PRJNA1242805	10.1016/j.celrep.2025.115772
PRJNA1243574	10.1016/j.plaphy.2025.110662
PRJNA1244272	10.1111/tpj.70125
PRJNA1245285	10.1111/nph.71053
PRJNA1245489	10.3390/ijms26114983
PRJNA1246341	10.1111/ppl.70702
PRJNA1247987	10.1186/s12864-025-12144-1
PRJNA1248058	10.1038/s41597-025-06501-8
PRJNA1250220	10.3390/ijms26115194
PRJNA1251656	10.1038/s41467-025-61474-x
PRJNA1255829	10.1016/j.celrep.2025.116575
PRJNA1256908	10.3389/fpls.2026.1745952
PRJNA1261096	10.3389/fpls.2025.1540179
PRJNA1263482	10.1016/j.virol.2026.110820
PRJNA1265690	10.1093/jxb/eraf432
PRJNA1265958	10.3390/ijms26125538
PRJNA1267768	10.1038/s41467-026-69508-8
PRJNA1270936	10.1038/s42003-026-09667-y
PRJNA1272045	10.1128/mbio.02912-25
PRJNA1272129	10.1186/s12870-026-08414-z
PRJNA1274897	10.1093/g3journal/jkag151
PRJNA1276321	10.1111/nph.70621
PRJNA1279063	10.1101/2025.10.14.682320
PRJNA1280538	10.1111/pbi.70388
PRJNA1286949	10.1111/jipb.13832
PRJNA1287296	10.1093/g3journal/jkaf252
PRJNA1293538	10.3390/plants14162458
PRJNA1305415	10.3389/fpls.2025.1694555
PRJNA1307747	10.1111/jac.70189
PRJNA1314945	10.21203/rs.3.rs-8808792/v1
PRJNA1315207	10.1016/j.chom.2026.02.001
PRJNA1321556	10.3390/biology14111488
PRJNA1328502	10.1093/femsle/fnag019
PRJNA1332781	10.3390/genes16101158
PRJNA1335398	10.3390/plants14233645
PRJNA1338360	10.1128/spectrum.02091-25
PRJNA1344827	10.1186/s12864-026-12947-w
PRJNA1347427	10.1186/s12870-026-08643-2
PRJNA1354640	10.1186/s12870-026-08210-9
PRJNA1356531	10.3389/fmicb.2026.1742203
PRJNA1363716	10.1186/s12870-026-08429-6
PRJNA1366440	10.1111/tpj.71018
PRJNA1366519	10.1111/pce.70566
PRJNA1367956	10.1186/s12870-014-0215-5
PRJNA1370671	10.1186/s12870-026-08539-1
PRJNA1374450	10.1016/j.funbio.2026.101828
PRJNA1390436	10.3389/fpls.2025.1724180
PRJNA1392009	10.3389/fpls.2026.1776686
PRJNA1394492	10.1101/2026.02.17.706082
PRJNA1394627	10.1111/nph.71312
PRJNA1394657	10.1128/mra.00510-26
PRJNA1405621	10.1128/aem.00681-26
PRJNA1414147	10.21203/rs.3.rs-8610641/v1
PRJNA1416783	10.1016/j.scienta.2026.114867
PRJNA1416819	10.1021/acs.jafc.6c00147
PRJNA1423152	10.3390/jof12070524
PRJNA1426573	10.1186/s12870-026-08784-4
PRJNA1426942	10.1101/2026.02.24.707787
PRJNA1428298	10.1073/pnas.2601719123
PRJNA1454804	10.1101/2026.04.23.720444
PRJNA1457771	10.1101/2026.05.09.724051
PRJNA1465640	10.64898/2026.06.02.729393
PRJNA147097	10.1038/ncomms2427
PRJNA1471993	10.3390/plants15121771
PRJNA1475220	10.3390/jof12070540
PRJNA148307	10.1038/ng.2372
PRJNA151285	10.1038/ng.2372
PRJNA151401	10.1016/j.molp.2020.08.001
PRJNA169154	10.1101/gr.152660.112
PRJNA171217	10.1186/s12864-016-2917-6
PRJNA176472	10.1371/journal.pgen.1007637
PRJNA179498	10.1080/15476286.2022.2043040
PRJNA18535	10.1073/pnas.1019315108
PRJNA202292	10.1186/1471-2164-15-313
PRJNA209313	10.1105/tpc.112.103499
PRJNA231064	10.1093/gigascience/giz039
PRJNA237967	10.1093/gbe/evu101
PRJNA240125	10.1111/nph.13087
PRJNA240676	10.1186/1471-2164-15-710
PRJNA245071	10.1016/j.gene.2014.06.029
PRJNA245759	10.1371/journal.ppat.1004432
PRJNA246444	10.1371/journal.pone.0178164
PRJNA246735	10.3389/fpls.2014.00435
PRJNA246736	10.3389/fpls.2014.00435
PRJNA250530	10.1371/journal.pone.0219207
PRJNA253086	10.1046/j.1364-3703.2003.00190.x
PRJNA254725	10.3390/molecules190810717
PRJNA256033	10.1093/dnares/dsu033
PRJNA256347	10.1186/s13059-015-0590-8
PRJNA259589	10.1371/journal.ppat.1004801
PRJNA260080	10.1111/nph.13948
PRJNA261444	10.1002/pld3.64
PRJNA265955	10.1038/ncomms10456
PRJNA271927	10.1038/s41438-021-00572-5
PRJNA273659	10.3390/cimb43020069
PRJNA274853	10.3390/cells11010037
PRJNA276444	10.7554/eLife.07295
PRJNA279922	10.1094/PHYTO-05-16-0197-R
PRJNA281236	10.1104/pp.15.00852
PRJNA283526	10.1038/srep22241
PRJNA289545	10.1186/s12864-022-08433-8
PRJNA290690	10.1094/MPMI-11-23-0181-R
PRJNA293109	10.3389/fmicb.2016.01113
PRJNA293283	10.1101/510404v1
PRJNA293594	10.1111/nph.18164
PRJNA293991	10.1186/s12864-016-2546-0
PRJNA294234	10.1111/mpp.12405
PRJNA294848	10.1093/nar/gkx085
PRJNA296349	10.1016/j.heliyon.2020.e04952
PRJNA296778	10.1093/gbe/evw020
PRJNA296894	10.1038/ng.3485
PRJNA297400	10.7717/peerj.1549
PRJNA297402	10.7717/peerj.1549
PRJNA299335	10.1101/510404v1
PRJNA300619	10.3390/toxins8020046
PRJNA302556	10.1038/srep18283
PRJNA304266	10.1016/j.ecoenv.2020.111816
PRJNA304618	10.1186/s12864-024-10445-5
PRJNA306542	10.1038/srep37302
PRJNA306679	10.1371/journal.ppat.1005697
PRJNA307989	10.1111/pce.14579
PRJNA308408	10.1186/s12864-016-2780-5
PRJNA311604	10.1093/gbe/evw259
PRJNA315041	10.1038/s41597-021-00872-4
PRJNA315516	10.3389/fpls.2020.00908
PRJNA318835	10.3390/v11121092
PRJNA321325	10.1111/tpj.13419
PRJNA321917	10.1093/jxb/erx338
PRJNA322439	10.1080/15592324.2023.2269675
PRJNA322501	10.1111/mpp.12464
PRJNA323552	10.1101/510404v1
PRJNA325493	10.3389/ffunb.2024.1459229
PRJNA326901	10.1371/journal.pone.0163803
PRJNA327013	10.1002/pld3.484
PRJNA327437	10.1186/s12864-017-3642-5
PRJNA328045	10.3389/fpls.2016.01784
PRJNA329199	10.1186/s12864-017-3961-6
PRJNA329579	10.1128/genomeA.00987-16
PRJNA331148	10.1186/s12864-017-3848-6
PRJNA336471	10.1016/j.celrep.2024.114786
PRJNA336478	10.1111/pce.12937
PRJNA338256	10.1038/s41598-018-30335-7
PRJNA339565	10.3389/fgene.2016.00206
PRJNA341340	10.7554/eLife.22472
PRJNA344467	10.1186/s12864-015-2193-x
PRJNA345005	10.7717/peerj.3237
PRJNA347320	10.1186/s12864-017-3678-6
PRJNA349155	10.1093/aob/mcw272
PRJNA350867	10.1371/journal.pone.0218844
PRJNA352342	10.1371/journal.ppat.1006670
PRJNA352824	10.3389/fpls.2022.1030720
PRJNA355407	10.1371/journal.pgen.1008272
PRJNA355905	10.3390/plants14203163
PRJNA357594	10.1186/s12864-018-4513-4
PRJNA357960	10.1038/s41598-019-40754-9
PRJNA358831	10.1093/database/baaf015
PRJNA36323	10.1534/g3.116.032797
PRJNA369690	10.1094/MPMI-03-17-0054-R
PRJNA371695	10.1038/s41598-017-10405-y
PRJNA376075	10.1038/s41598-024-71941-y
PRJNA376551	10.1016/j.cub.2017.02.044
PRJNA378602	10.1111/nph.14833
PRJNA381081	10.1186/s12864-019-5485-8
PRJNA382499	10.3389/fmicb.2017.00773
PRJNA383416	10.1038/nature25966
PRJNA383548	10.3389/fmicb.2021.679936
PRJNA383862	10.1128/mBio.00895-17
PRJNA384934	10.1104/pp.17.00390
PRJNA387508	10.1101/510404v1
PRJNA389503	10.1038/s41598-017-07995-y
PRJNA391024	10.1038/s41467-017-02782-9
PRJNA391093	10.1094/MPMI-12-17-0309-A
PRJNA392275	10.1534/g3.117.300196
PRJNA393407	10.56093/ijas.v89i10.94629
PRJNA395311	10.3389/fpls.2017.01427
PRJNA395908	10.1038/s41598-025-89119-5
PRJNA396467	10.1111/mpp.70042
PRJNA396589	10.1128/mBio.02275-17
PRJNA397359	10.3390/ijms19010031
PRJNA407369	10.1105/tpc.17.00764
PRJNA407475	10.1186/s12864-018-4934-0
PRJNA407898	10.1371/journal.pone.0206765
PRJNA407960	10.1186/s12864-017-4151-2
PRJNA412801	10.3389/fgene.2020.00959
PRJNA414570	10.1186/s12863-018-0668-x
PRJNA414966	10.3389/fpls.2019.01704
PRJNA415282	10.3389/fpls.2017.02155
PRJNA415355	10.1111/nph.14960
PRJNA415716	10.1002/ece3.4724
PRJNA415853	10.1126/science.aao7294
PRJNA415866	10.1186/s12915-021-01123-z
PRJNA417591	10.1534/genetics.118.300478
PRJNA418121	10.1371/journal.pgen.1007143
PRJNA418175	10.1126/science.aaq0892
PRJNA418364	10.3389/fpls.2017.02075
