count	tissue
4	silique
4	stigma
4	Pseudostem
4	infected parts
4	fresh leaf
4	Young leaves, stems, and roots
4	Dried: silica Gel
4	4DAG
4	leaves and roots
4	wood
4	roots, stem, leaves, developing buds, flowers, fruits
4	Leaf and stem
4	kernel
4	chloroplast
4	root plus epiderme
4	Dried leave (Herbarium voucher or silica-dried)
4	twig
4	mostly gametophyte
4	Mature leaf tissue, chloroplast
3	root flesh-3
3	root flesh-2
3	root flesh-1
3	leaves treated with PFBA
3	leaves treated with PFOA
3	leaves treated with CNPs-PFBA
3	leaves treated with CNPs-PFOA
3	leaves treated with CNPs
3	Lignified fresh tender leaves
3	Semilignified fresh tender leaves
3	Falcate adult leaves
3	Nonlignified fresh tender leaves
3	Microcotyledon during the vegetative phase
3	Distal bart of BM during the vegetative phase
3	Basal bart of BM during the vegetative phase
3	GM during the vegetative phase
3	GM during the reproductive phase
3	Bract tip
3	the inner muscle of the peel(pith)
3	mixture of old leaves, young leaves, stems, tendrils, male flowers, female flowers, fruits, seedling leaves, seedling stems, and seedling roots
3	whole tissue
3	grape berry
3	whole
3	cirrus
3	fresh leaves
3	Unopened buds
3	extracellular vesicles
3	Leaf_12
3	Leaf_11
3	Leaf_10
3	Leaf_9
3	Leaf_8
3	Leaf_7
3	Leaf_6
3	Leaf_5
3	Leaf_4
3	Leaf_3
3	Leaf_2
3	Leaf_1
3	aerial
3	Coleoptile/shoot
3	Primary root
3	1st leaf
3	Root tip/apex (1mm)
3	Root elongation zone (2mm)
3	Root maturation zone (2mm)
3	3rd leaf
3	plantlet
3	somatic embryo
3	purple peel
3	green peel
3	leaves overexpressing MYB308
3	leaf (Silica collection)
3	leaf (Herbarium Voucher)
3	male
3	Soil
3	male flower
3	Leaf and scape
3	leaf bud
3	lateral root after RKN infected
3	Untreated lateral roots
3	PLB
3	Uninfected roots
3	various
3	pod of Gleditsia japonica var. delavayi
3	thorn of Gleditsia japonica var. delavayi
3	real leave
3	leaf, flower
3	leaf18
3	leaf17
3	leaf16
3	leaf15
3	leaf14
3	leaf13
3	leaf12
3	leaf11
3	leaf10
3	steam
3	twigs
3	perisperm
3	bloom
3	Needle leaves of Pinus yunnanensis var. pygmaea (60d)
3	Needle leaves of Pinus yunnanensis var. pygmaea (48d)
3	Needle leaves of Pinus yunnanensis var. pygmaea (36d)
3	Needle leaves of Pinus yunnanensis var. pygmaea (24d)
3	Needle leaves of Pinus yunnanensis var. pygmaea (12d)
3	the roots
3	Non-Embryogenic Callus
3	Embryogenic Callus
3	Needle leaves of Pinus yunnanensis var. pygmaea after 3 days of rehydration.
3	Needle leaves of Pinus yunnanensis var. pygmaea after 35 days of drought.
3	Needle leaves of Pinus yunnanensis var. pygmaea after 28 days of drought.
3	Needle leaves of Pinus yunnanensis var. pygmaea after 21 days of drought.
3	Needle leaves of Pinus yunnanensis var. pygmaea after 14 days of drought.
3	Needle leaves of Pinus yunnanensis var. pygmaea after 7 days of drought.
3	Seed pod
3	mix of flower and leaf
3	leaves overexpressing LINC15957
3	Root differentiation zones
3	Root elongation zones
3	Root meristem zones
3	shoot apical meristeme
3	root apical meristeme
3	Pinus yunnanensis var.pygmaea root tip tissue
3	Pinus yunnanensis var.pygmaea apical meristems
3	Chloroplast whole genome
3	pericarp and hulls
3	shell
2	Apical seedling
2	Inflorescences
2	Leaf tissue
2	leaf and stem
2	Basal part of macrocotyledons
2	Flowering spikes
2	caulin leaf
2	Mixed root, stem and leaf
2	stolon
2	the plant
2	Berry_24
2	Berry_23
2	Berry_22
2	Berry_21
2	Berry_20
2	Berry_19
2	Berry_18
2	Berry_17
2	Berry_16
2	Berry_15
2	Berry_14
2	Berry_13
2	whole specimen
2	Somatic Embryo-LCE-4
2	Somatic Embryo-LCE-3
2	Somatic Embryo-LCE-2
2	Somatic Embryo-LCE-1
2	Somatic Embryo-PCE-4
2	Somatic Embryo-PCE-3
2	Somatic Embryo-PCE-2
2	Somatic Embryo-PCE-1
2	Somatic Embryo-LTE-4
2	Somatic Embryo-LTE-3
2	Somatic Embryo-LTE-1
2	Somatic Embryo-PTE-4
2	Somatic Embryo-PTE-3
2	Somatic Embryo-PTE-1
2	Somatic Embryo-HE-3
2	Somatic Embryo-HE-2
2	Somatic Embryo-HE-1
2	Somatic Embryo-GE-4
2	Somatic Embryo-GE-3
2	Somatic Embryo-GE-2
2	Somatic Embryo-GE-1
2	Somatic Embryo-NSE-4
2	Somatic Embryo-NSE-3
2	Somatic Embryo-NSE-2
2	Somatic Embryo-NSE-1
2	ovule
2	Leaf fragment
2	leaft
2	Stem/Bulb scale
2	petals
2	StemLeaf
2	whole plants
2	leaf and root
2	young expanding leaf tissue
2	Red skin
2	White skin
2	Leaves and stem
2	Leave
2	coleoptile
2	the shoot apex
2	dried leaf
2	Developing spikes
2	SM rhizosphere root
2	mixture of leaf and root
2	8DAP
2	fecal
2	Seeds
2	wounded leaves of stage 2
2	Leaf flesh
2	tea leaves
2	leaf54
2	leaf53
