# Unpaywall coverage — 725 unique DOIs
doi	bp	has_methods	is_oa	status	host	version	pdf_url
10.1111/nph.12085	PRJNA171217	True	True	green	repository	submittedVersion	https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.12085
10.3389/fgene.2018.00130	PRJNA392275	True	True	gold	publisher	publishedVersion	https://www.frontiersin.org/articles/10.3389/fgene.2018.00130/pdf
10.1038/srep22241	PRJNA283526	True	True	gold	publisher	publishedVersion	https://www.nature.com/articles/srep22241.pdf
# 50/725 done
10.1128/mBio.02275-17	PRJNA396589	True	True	gold	publisher	publishedVersion	https://mbio.asm.org/content/mbio/9/1/e02275-17.full.pdf
10.3389/fmicb.2017.00773	PRJNA382499	True	True	gold	publisher	publishedVersion	https://www.frontiersin.org/articles/10.3389/fmicb.2017.00773/pdf
10.1111/mpp.13498	PRJEB68334	True	True	gold	publisher	publishedVersion	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/mpp.13498
10.3389/fmicb.2024.1418816/pdf	PRJNA932159	True	False	error			
10.3389/fmicb.2024.1357579	PRJNA1021048	True	True	gold	publisher	publishedVersion	https://doi.org/10.3389/fmicb.2024.1357579
10.1186/s13059-015-0590-8	PRJNA256347	True	True	gold	publisher	publishedVersion	https://genomebiology.biomedcentral.com/counter/pdf/10.1186/s13059-015-0590-8
10.1093/nar/gkaf1441	PRJNA1064071	True	True	gold	publisher	publishedVersion	https://doi.org/10.1093/nar/gkaf1441
10.3390/jof11080580	PRJNA1137604	True	True	gold	publisher	publishedVersion	https://www.mdpi.com/2309-608X/11/8/580/pdf?version=1754309100
10.1111/jipb.70241	PRJNA1202856	False	False	closed			
10.1111/ppa.70085	PRJNA397359	True	False	closed			
10.3389/fpls.2022.1058847	PRJNA895362	True	True	gold	publisher	publishedVersion	https://doi.org/10.3389/fpls.2022.1058847
10.1128/mra.01437-19	PRJNA588304	True	True	gold	publisher	publishedVersion	https://mra.asm.org/content/ga/9/2/e01437-19.full.pdf
10.1038/s41598-017-07995-y	PRJNA389503	True	True	gold	publisher	publishedVersion	https://www.nature.com/articles/s41598-017-07995-y.pdf
10.1073/pnas.1019315108	PRJNA18535	True	True	green	repository	submittedVersion	https://hal.science/hal-01000169v1/document
10.1371/journal.ppat.1004432	PRJNA245759	True	True	gold	publisher	publishedVersion	https://journals.plos.org/plospathogens/article/file?id=10.1371/journal.ppat.1004432&type=printable
10.1128/mbio.03468-25	PRJNA1162778	True	True	gold	publisher	publishedVersion	https://doi.org/10.1128/mbio.03468-25
10.1007/s11427-024-2780-4	PRJNA1083222	False	False	closed			
10.3389/fpls.2024.1464454	PRJEB77002	True	True	gold	publisher	publishedVersion	https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1464454/pdf
10.1111/nph.13948	PRJNA260080	False	True	bronze	publisher	publishedVersion	https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.13948
10.1073/pnas.2301358120	PRJEB45007	True	True	hybrid	publisher	publishedVersion	https://doi.org/10.1073/pnas.2301358120
10.1038/s41598-019-56396-w	PRJNA516496	True	True	gold	publisher	publishedVersion	https://www.nature.com/articles/s41598-019-56396-w.pdf
