mode	Run	BioSample	BioProject	biosample_rep	sra_organism	stat_top_pathogen	stat_top_pct	meta_pathogen	mismatch_flag	bp_title
mal	SRR26175770	SAMN37543192	PRJNA1021048	True	Alternaria solani			alternaria alternata	stat_undetected	Multi-omics approaches to understand pathogenicity during potato early blight disease caused by Alternaria solani.
mal	SRR30278488	SAMN43197542	PRJNA1148379	True	Phakopsora pachyrhizi			phakopsora pachyrhizi	stat_undetected	RNA-seq of Phakopsora pachyrhizi SS4
mal	SRR6242058	SAMN07836901	PRJNA415866	True	Puccinia graminis f. sp. tritici	Puccinia graminis	1.34	puccinia graminis	all_match	Genome sequencing of Australian pathotypes of Puccinia graminis f. sp tritici
mal	SRR13349985	SAMN17140918	PRJNA687280	True	Sclerotinia sclerotiorum			sclerotinia sclerotiorum	stat_undetected	Analysis of differentially expressed Sclerotinia sclerotiorum genes during the interaction with moderately resistant and highly susceptible chickpea lines.
mal	ERR6548379	SAMEA9533759	PRJEB46918	True	Phakopsora pachyrhizi			phakopsora pachyrhizi	stat_undetected	Genome and transcriptome sequencing of Asian Soybean Rust, Phakopsora pachyrhizi
mal	SRR12676682	SAMN14814972	PRJNA628162	True	Botrytis cinerea	Botrytis cinerea	3.03	botrytis cinerea	all_match	Transcriptome Profiling Data of Botrytis cinerea Infection on Whole Plant Solanum lycopersicum.
mal	ERR3500509	SAMEA5920103	PRJEB34186	True	Pyrenophora teres f. teres			pyrenophora teres f. teres	stat_undetected	Identification of Highly Repetitive Enhancers with Long-range Regulation Potential in Barley via STARR-seq.
mal	ERR3170184	SAMEA5366306	PRJEB31334	True	Puccinia striiformis	Puccinia striiformis f. sp. tritici	0.75	puccinia striiformis f. sp. tritici	all_match	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	SRR32938362	SAMN47734613	PRJNA1244880	True	Phytophthora capsici			phytophthora capsici	stat_undetected	Putative SET Domain-Containing Proteins Play Significant Roles in Regulating Sporulation, and Pathogenicity in Phytophthora capsici
mal	SRR8606638	SAMN10984774	PRJNA523226	True	Bremia lactucae			bremia lactucae	stat_undetected	RNAseq of lettuce infected with Bremia lactucae
mal	ERR15005485	SAMEA117592962	PRJEB84390	True	Puccinia triticina	Puccinia triticina	14.02	puccinia triticina	all_match	k-mer-based GWAS reveals a candidate avirulence gene and structural variation in Puccinia triticina linked to gain of Lr20 virulence.
mal	SRR5145236	SAMN06203080	PRJNA358831	True	Ralstonia solanacearum			ralstonia solanacearum	stat_undetected	Ralstonia solanacearum strain:UY031 Transcriptome or Gene expression
mal	SRR23868369	SAMN33768501	PRJNA944941	True	Xanthomonas citri pv. fuscans			xanthomonas citri pv. fuscans	stat_undetected	Xanthomonas citri pv fuscans transcriptomic changes during the contamination of Phaseolus vulgaris seeds
mal	SRR17940160	SAMN25186339	PRJNA799676	True	Fusarium graminearum	Fusarium graminearum	13.67	fusarium graminearum	all_match	Transcriptome and gene function analysis reveal a new secreted protein, FGSE02, which triggers plant necrosis that affects fungal virulence.
mal	ERR4315201	SAMEA7035843	PRJEB39201	True	Puccinia striiformis f. sp. tritici			puccinia striiformis f. sp. tritici	stat_undetected	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	SRR2134889	SAMN03978767	PRJNA291119	True	Phytophthora nicotianae			phytophthora parasitica	stat_undetected	Raw Sequence Reads, Pathogen: Phytophthora parasitica, Host: Lupinus augustifolius
mal	SRR18253554	SAMN26502538	PRJNA813432	True	Heterodera glycines				stat_undetected	
