label	species	n_single	n_multi	n_confirmed	family
Arachis_hypogaea	Arachis hypogaea	56	120	176	Fabaceae
Lathyrus_oleraceus	Lathyrus oleraceus	8	10	18	Fabaceae
Citrullus_lanatus	Citrullus lanatus	16	22	38	Cucurbitaceae
Ipomoea_batatas	Ipomoea batatas	8	13	21	
Lilium_cernuum	Lilium cernuum	0	1	1	
Trifolium_pratense	Trifolium pratense	2	4	6	Fabaceae
Chrysanthemum_x_morifolium	Chrysanthemum x morifolium	58	18	76	Asteraceae
Gossypium_barbadense	Gossypium barbadense	2	7	9	Malvaceae
Actinidia_chinensis	Actinidia chinensis	3	2	5	Actinidiaceae
Vicia_faba_var__minor	Vicia faba var. minor	0	1	1	Fabaceae
Medicago_sativa	Medicago sativa	33	3	36	Fabaceae
Vitis_davidii	Vitis davidii	0	3	3	Vitaceae
Nicotiana_benthamiana	Nicotiana benthamiana	47	6	53	Solanaceae
Cunninghamia_lanceolata	Cunninghamia lanceolata	7	3	10	
Cucurbita_pepo_subsp__pepo	Cucurbita pepo subsp. pepo	10	7	17	Cucurbitaceae
Triticum_polonicum	Triticum polonicum	3	2	5	Poaceae
Prunus_domestica	Prunus domestica	2	3	5	Rosaceae
Citrus_x_paradisi	Citrus x paradisi	2	3	5	Rutaceae
Linum_usitatissimum	Linum usitatissimum	14	8	22	
Pyrus_pyrifolia	Pyrus pyrifolia	7	5	12	Rosaceae
Fragaria_x_ananassa	Fragaria x ananassa	16	2	18	Rosaceae
Vitis_vinifera_x_Vitis_labrusca	Vitis vinifera x Vitis labrusca	0	3	3	Vitaceae
Gerbera_hybrid_cultivar	Gerbera hybrid cultivar	4	1	5	Asteraceae
Tagetes_erecta	Tagetes erecta	18	10	28	Asteraceae
Lilium_brownii	Lilium brownii	8	2	10	
Pseudostellaria_heterophylla	Pseudostellaria heterophylla	7	1	8	
Lilium_hybrid_cultivar	Lilium hybrid cultivar	16	2	18	
Petroselinum_crispum	Petroselinum crispum	0	1	1	
Daucus_carota_subsp__carota	Daucus carota subsp. carota	1	1	2	
Panax_ginseng	Panax ginseng	8	3	11	
Humulus_lupulus	Humulus lupulus	3	6	9	
Pinus_massoniana	Pinus massoniana	1	1	2	
Triticum_turgidum	Triticum turgidum	18	6	24	Poaceae
Hordeum_vulgare_subsp__vulgare	Hordeum vulgare subsp. vulgare	5	2	7	Poaceae
Triticum_turgidum_subsp__durum	Triticum turgidum subsp. durum	18	3	21	Poaceae
Citrus_reticulata	Citrus reticulata	7	2	9	Rutaceae
Lilium_brownii_var__viridulum	Lilium brownii var. viridulum	2	1	3	
Pyrus_x_bretschneideri	Pyrus x bretschneideri	0	1	1	Rosaceae
Brassica_oleracea_var__capitata	Brassica oleracea var. capitata	0	1	1	Brassicaceae
Citrus_trifoliata	Citrus trifoliata	7	1	8	Rutaceae
Raphanus_sativus_var__sativus	Raphanus sativus var. sativus	7	2	9	Brassicaceae
