Mode: HAL
NCBI_API_KEY set: yes
Runs from 01_sra:    559,328
STAT cache (shared): 304,311 entries total, 255,893 for this mode already cached
  Fetching STAT for 303,435 runs …
  [30,600/303,435] fetched  08:20:30
  [30,800/303,435] fetched  08:20:50
  [31,000/303,435] fetched  08:21:11
  [31,200/303,435] fetched  08:21:26
  [31,400/303,435] fetched  08:21:42
  [31,600/303,435] fetched  08:21:59
  [31,800/303,435] fetched  08:22:18
  [32,000/303,435] fetched  08:22:34
  [32,200/303,435] fetched  08:22:54
  [32,400/303,435] fetched  08:23:15
  [32,600/303,435] fetched  08:23:33
  [32,800/303,435] fetched  08:23:50
  [33,000/303,435] fetched  08:24:06
  [33,200/303,435] fetched  08:24:23
  [33,400/303,435] fetched  08:24:40
  [33,600/303,435] fetched  08:24:57
  [33,800/303,435] fetched  08:25:17
  [34,000/303,435] fetched  08:25:36
  [34,200/303,435] fetched  08:25:53
  [34,400/303,435] fetched  08:26:09
  [34,600/303,435] fetched  08:26:27
  [34,800/303,435] fetched  08:26:44
  [35,000/303,435] fetched  08:27:02
  [35,200/303,435] fetched  08:27:20
  [35,400/303,435] fetched  08:27:39
  [35,600/303,435] fetched  08:27:55
  [35,800/303,435] fetched  08:28:11
  [36,000/303,435] fetched  08:28:27
  [36,200/303,435] fetched  08:28:43
  [36,400/303,435] fetched  08:29:01
  [36,600/303,435] fetched  08:29:21
  [36,800/303,435] fetched  08:29:38
  [37,000/303,435] fetched  08:29:56
  [37,200/303,435] fetched  08:30:14
  [37,400/303,435] fetched  08:30:32
  [37,600/303,435] fetched  08:30:55
  [37,800/303,435] fetched  08:31:20
  [38,000/303,435] fetched  08:31:43
  [38,200/303,435] fetched  08:31:59
  [38,400/303,435] fetched  08:32:14
  [38,600/303,435] fetched  08:32:32
  [38,800/303,435] fetched  08:32:51
  [39,000/303,435] fetched  08:33:11
  [39,200/303,435] fetched  08:33:33
  [39,400/303,435] fetched  08:33:52
  [39,600/303,435] fetched  08:34:12
  [39,800/303,435] fetched  08:34:29
  [40,000/303,435] fetched  08:34:47
  [40,200/303,435] fetched  08:35:10
  [40,400/303,435] fetched  08:35:26
  [40,600/303,435] fetched  08:35:44
  [40,800/303,435] fetched  08:36:02
  [41,000/303,435] fetched  08:36:21
  [41,200/303,435] fetched  08:36:37
  [41,400/303,435] fetched  08:36:54
  [41,600/303,435] fetched  08:37:14
  [41,800/303,435] fetched  08:37:34
  [42,000/303,435] fetched  08:37:53
  [42,200/303,435] fetched  08:38:11
  [42,400/303,435] fetched  08:38:29
  [42,600/303,435] fetched  08:38:47
  [42,800/303,435] fetched  08:39:03
  [43,000/303,435] fetched  08:39:19
  [43,200/303,435] fetched  08:39:36
  [43,400/303,435] fetched  08:39:54
  [43,600/303,435] fetched  08:40:13
  [43,800/303,435] fetched  08:40:30
  [44,000/303,435] fetched  08:40:48
  [44,200/303,435] fetched  08:41:06
  [44,400/303,435] fetched  08:41:23
  [44,600/303,435] fetched  08:41:40
  [44,800/303,435] fetched  08:41:57
  [45,000/303,435] fetched  08:42:17
  [45,200/303,435] fetched  08:42:33
  [45,400/303,435] fetched  08:42:50
  [45,600/303,435] fetched  08:43:13
  [45,800/303,435] fetched  08:43:30
  [46,000/303,435] fetched  08:43:49
  [46,200/303,435] fetched  08:44:07
  [46,400/303,435] fetched  08:44:26
  [46,600/303,435] fetched  08:44:45
  [46,800/303,435] fetched  08:45:00
  [47,000/303,435] fetched  08:45:19
  [47,200/303,435] fetched  08:45:35
  [47,400/303,435] fetched  08:45:51
  [47,600/303,435] fetched  08:46:11
  [47,800/303,435] fetched  08:46:28
  [48,000/303,435] fetched  08:46:46
  [48,200/303,435] fetched  08:47:03
  [48,400/303,435] fetched  08:47:22
  [48,600/303,435] fetched  08:47:40
  [48,800/303,435] fetched  08:47:57
  [49,000/303,435] fetched  08:48:18
  [49,200/303,435] fetched  08:48:36
  [49,400/303,435] fetched  08:48:52
  [49,600/303,435] fetched  08:49:09
  [49,800/303,435] fetched  08:49:29
  [50,000/303,435] fetched  08:49:49
  [50,200/303,435] fetched  08:50:07
  [50,400/303,435] fetched  08:50:33
  [50,600/303,435] fetched  08:50:50
  [50,800/303,435] fetched  08:51:09
  [51,000/303,435] fetched  08:51:29
  [51,200/303,435] fetched  08:51:53
  [51,400/303,435] fetched  08:52:12
  [51,600/303,435] fetched  08:52:29
  [51,800/303,435] fetched  08:52:53
  [52,000/303,435] fetched  08:53:09
  [52,200/303,435] fetched  08:53:25
  [52,400/303,435] fetched  08:53:47
  [52,600/303,435] fetched  08:54:11
  [52,800/303,435] fetched  08:54:29
  [53,000/303,435] fetched  08:54:53
  [53,200/303,435] fetched  08:55:15
  [53,400/303,435] fetched  08:55:36
  [53,600/303,435] fetched  08:55:57
  [53,800/303,435] fetched  08:56:17
  [54,000/303,435] fetched  08:56:40
  [54,200/303,435] fetched  08:57:08
  [54,400/303,435] fetched  08:57:26
  [54,600/303,435] fetched  08:57:49
  STAT error ERR13658505: Failed after 5 retries: https://trace.ncbi.nlm.nih.gov/Traces/sra-db-be/run_taxonomy?acc=ERR13658505&cluster_name=public
  [54,800/303,435] fetched  08:58:08
  [55,000/303,435] fetched  08:58:27
  [55,200/303,435] fetched  08:58:49
  [55,400/303,435] fetched  08:59:12
  [55,600/303,435] fetched  08:59:33
  [55,800/303,435] fetched  08:59:51
  [56,000/303,435] fetched  09:00:09
  [56,200/303,435] fetched  09:00:27
  [56,400/303,435] fetched  09:00:45
  [56,600/303,435] fetched  09:01:07
  [56,800/303,435] fetched  09:01:24
  [57,000/303,435] fetched  09:01:43
  [57,200/303,435] fetched  09:02:03
  [57,400/303,435] fetched  09:02:21
  [57,600/303,435] fetched  09:02:38
  [57,800/303,435] fetched  09:02:54
  [58,000/303,435] fetched  09:03:15
  [58,200/303,435] fetched  09:03:48
  [58,400/303,435] fetched  09:04:04
  [58,600/303,435] fetched  09:04:23
  [58,800/303,435] fetched  09:04:38
  [59,000/303,435] fetched  09:04:58
  [59,200/303,435] fetched  09:05:18
  [59,400/303,435] fetched  09:05:34
  [59,600/303,435] fetched  09:05:54
  [59,800/303,435] fetched  09:06:13
  [60,000/303,435] fetched  09:06:29
  [60,200/303,435] fetched  09:06:45
  [60,400/303,435] fetched  09:07:02
  [60,600/303,435] fetched  09:07:23
  [60,800/303,435] fetched  09:07:38
  [61,000/303,435] fetched  09:07:55
  [61,200/303,435] fetched  09:08:11
  [61,400/303,435] fetched  09:08:28
  [61,600/303,435] fetched  09:08:49
  [61,800/303,435] fetched  09:09:08
  [62,000/303,435] fetched  09:09:28
  [62,200/303,435] fetched  09:09:46
  [62,400/303,435] fetched  09:10:02
  [62,600/303,435] fetched  09:10:23
