BioProject	n_runs	title	description	pmids	publications	primaries	secondaries
PRJNA950118	1	Sequencing of Canadian Puccinia striiformis isolates	Puccinia striiformis isolates were collected from across western Canada and sequenced using RNAseq or WGS for comparative pathogenomics			Puccinia striiformis	Pyrenophora tritici-repentis
PRJNA956871	1						
PRJEB39756	1						
PRJNA392275	1						
PRJNA1110392	1	Transcriptome analysis of Colletotrichum fructicola	Transcriptome analysis of Colletotrichum fructicola, which is a main pathogen of Glomerella leaf spot.			Colletotrichum fructicola	Alternaria alternata
PRJNA1021048	1						
PRJNA1272045	1	Ralstonia pseudosolanacearum LOV domain protein regulates environmental stress tolerance, iron homeostasis and bacterial wilt virulence	Bacteria use diverse sensors to integrate environmental stimuli into physiological responses that ensure fitness and survival. Ralstonia pseudosolanacearum (Rps), a soil-borne plant pathogen that caus	41358747	[41358747] RprR is a plant-responsive regulator of exopolysaccharide production, biofilm formation, and virulence in	Ralstonia pseudosolanacearum	Pseudomonas fluorescens
PRJNA283526	1	RNA-Seq analyse the virulence mechanism of rice pathogen Acidovorax avenae subsp. avenae strain RS-1 following ß-lactam antibiotics exposure	This study investigated the transcriptomic response of rice pathogen Acidovorax avenae subsp. avenae (Aaa) strain RS-1 to ß-lactam antibiotics in particular Ampicillin (Amp) and the result highlights 	26915352	[26915352] New insights into virulence mechanisms of rice pathogen Acidovorax avenae subsp. avenae strain RS-1 following exposure to ß-lactam antibiotics.	Paracidovorax avenae	Magnaporthe oryzae
PRJNA1063333	1						
PRJNA670487	1	Global transcriptome of the fungal pathogen Sclerotinia sclerotiorum (strain 1980) during the colonization of six plant species - Global transcriptome of S. sclerotiorum and S. trifoliorum during growth on camalexin	The host range of parasites is an important factor in assessing the dynamics of disease epidemics. The evolution of pathogens to accommodate new hosts may lead to host range expansion, a process the m	34282282	[34282282] Transcriptional response to host chemical cues underpins the expansion of host range in a fungal plant pathogen lineage.	Sclerotinia sclerotiorum 1980 UF-70	Botrytis cinerea
PRJEB13072	1	Transcriptome-based comparison of the infection response in maize silks between Fusarium graminearum and Ustilago maydis	In this study, RNA-seq based comparative transcriptome analysis was used to study the response between Fusarium graminearum and Ustilago maydis to different growth conditions. RNA-seq libraries were g			Fusarium graminearum	Ustilago maydis
PRJNA777477	1	Banana plant infected with viruses Genome sequencing and assembly	In this study, the infection status of 92 Musa samples was screened using HTS technology individually or as sample pools, and only one sample resulted in false negative caused by the heterogeneous dis			Cucumber mosaic virus	Banana bract mosaic virus
PRJNA1234858	1	Tomato ringspot virus in Phlox stolonifera	First report of tomato ringspot virus in Phlox stolonifera in the Netherlands			Tomato ringspot virus	Nepovirus lycopersici
PRJNA588304	1						
PRJNA1331714	1						
PRJNA491634	1						
PRJNA606340	1						
PRJNA895362	1	Citrus leprosis virus C2 Genome sequencing	Citrus leprosis (CiL) is one of the destructive emerging viral diseases of citrus in the Americas. Leprosis syndrome is associated with two taxonomically distinct groups of Brevipalpus transmitted vir			Citrus leprosis virus C2	Colletotrichum fructicola
PRJNA1054045	1						
PRJNA1089140	1	Historic Tymoviruses	Range of historic and more recent Tymoviruses from Fera and collections held at Julius Kuhn Institute and Warwick university			Turnip yellow mosaic virus	Brassica rapa virus 1
PRJNA996293	1	Interspecific hybrid of leek, garlic, and great-headed garlic infected with leek yellow stripe virus	The goal is to characterize the hybrid nature of this Allium crop and also examine the genomic feature of leek yellow stripe virus found in this hybrid crop.			Leek yellow stripe virus	Garlic latent virus
