Run	BioProject	SRAStudy	Platform	ScientificName	host	host_pct	host_species_pct	primary_pathogen	primary_taxid	primary_pct	secondary_pathogens	secondary_kingdoms	n_secondary	known_interaction	co_infection_flag	same_genus_secondary	fungi_pct	virus_pct	bacteria_pct	oomycete_pct	nematode_pct	analyzed
SRR14703397	PRJNA734294	SRP322194	ILLUMINA	Capsicum annuum	Capsicum annuum	0.0		Impatiens necrotic spot virus	11612	33.33			0	True	single	False	0.0	93.93939393939394	0.0	0.0	0.0	33
SRR36194762	PRJNA1354973	SRP639833	ILLUMINA	Zea mays	Zea mays	84.17		Bipolaris maydis	5016	2.01			0	True	single	False	5.4639854727952875	9.862015982686547e-05	1.3987942092366277	0.0	0.0	26363778
SRR34300105	PRJNA1217477	SRP561190	ILLUMINA	Phaseolus vulgaris	Phaseolus vulgaris	69.32		Botrytis cinerea	40559	3.03			0	True	single	False	4.155830881232403	0.0013744167976515798	5.799921255823201	0.0	0.0	32304611
SRR29384943	PRJNA1123450	SRP513640	ILLUMINA	Zea mays	Zea mays	35.86		Ustilago maydis	5270	1.48			0	True	single	False	1.5520301080259324	9.89354164441765e-05	1.720844158745833	0.0	0.0	36387374
ERR10886985	PRJEB59062	ERP144138	ILLUMINA	Triticum aestivum	Triticum aestivum	85.78		Fusarium graminearum	5518	6.63			0	True	single	False	9.389590209794626	0.126996746188981	0.1448579643764163	0.0	0.0	61121251
ERR10926675	PRJEB59238	ERP144295	ILLUMINA	Triticum aestivum	Triticum aestivum	86.37		Fusarium graminearum	5518	5.51			0	True	single	False	8.136480060585164	0.000723283625866006	0.3406829973590428	0.0	0.0	79222034
SRR21237712	PRJNA874157	SRP394378	ILLUMINA	Ipomoea batatas	Ipomoea batatas	55.74		Sweet potato virus C	930881	5.56			0	True	single	False	0.047523334696345974	26.229575609185723	0.9381120777231852	0.00016321694801263645	0.0001360141233438637	22056533
SRR7172337	PRJNA471709	SRP147745	ILLUMINA	Glycine max	Glycine max	53.32		Sclerotinia sclerotiorum	5180	18.26			0	True	single	False	19.23306736413227	0.0	0.004355382599396593	0.0	0.0	26472990
ERR14835970	PRJEB88178	ERP171315	ILLUMINA	Arabidopsis thaliana	Arabidopsis thaliana	24.42		Sclerotinia sclerotiorum	5180	54.94			0	True	single	False	59.71981789079128	0.025180526099959542	3.159139013964734	0.0	0.0	38200155
SRR34300116	PRJNA1217477	SRP561190	ILLUMINA	Phaseolus vulgaris	Phaseolus vulgaris	62.23		Botrytis cinerea	40559	2.53			0	True	single	False	3.436736616057576	0.006962269908885453	8.902927557378657	0.0	0.0	36956338
ERR10886986	PRJEB59062	ERP144138	ILLUMINA	Triticum aestivum	Triticum aestivum	85.97		Fusarium graminearum	5518	6.64			0	True	single	False	9.42184788651458	0.12642705640923638	0.139912429107934	0.0	0.0	59264213
SRR8357723	PRJNA510920	SRP174002	ILLUMINA	Oryza sativa Japonica Group	Oryza sativa Japonica Group	25.58		Fusarium verticillioides 7600	334819	1.09			0	False	single	False	2.1271430445694204	1.2153644674464325e-05	0.08539150748278633	0.0	0.0	16455969
SRR16925058	PRJNA779212	SRP345698	ILLUMINA	Capsicum annuum	Capsicum annuum	87.5		Pepper veinal mottle virus	255066	7.23			0	True	single	False	0.002704248942697451	7.230062944941694	0.14628081237259977	0.0	0.0	24664889
SRR19897816	PRJNA854090	SRP384184	ILLUMINA	Zea mays	Zea mays	87.42		Ustilago maydis	5270	1.92			0	True	single	False	1.9350699694641607	0.0007254245433792543	1.2934999693961522	0.0	0.0	22056050
DRR897958		DRP018998	ILLUMINA	Arabidopsis thaliana	Arabidopsis thaliana	51.02		Comovirus arabidopsis	3052138	3.04			0	True	single	False	0.00022619078499704434	32.11078016137413	0.18147719811603288	0.00022137821510349024	0.0	20778919
SRR7264895	PRJNA473829	SRP149815	ILLUMINA	Arabidopsis thaliana	Arabidopsis thaliana	59.64		Botrytis cinerea	40559	6.11			0	True	single	False	6.329057032241786	0.0003154002034331312	1.3866569943937614	0.0	0.0	1268230
