Run	fungi_pct	oomycota_pct	nematoda_pct	analyzed
SRR1171035	0.0	0.0	0.0	29398251
ERR5960078	0.815467146981257	0.0	0.0	10696323
SRR9997709	0.0	0.0	0.0	15798042
SRR9997707	23.481707709074435	0.0	0.0	15679392
SRR13349983	0.537969601553092	0.0	0.0	55065379
SRR16796993	9.851303512587524	0.0	0.0	57607077
SRR32908671	0.27556129712104205	0.0	0.0	285605420
ERR4315247	0.17907264646461113	0.0	0.0	18288667
SRR32620565	37.778910801173744	0.0	0.0	9975277
SRR15184339	69.44979390216768	0.0	0.0	49318083
SRR34026570	0.0	0.0	0.0	11854260
SRR37325202	1.4154746113150496	0.0	0.0	34478824
SRR6942216	2.6731797407247537	0.0	0.0	44246183
SRR7251389	0.0	0.0	0.0	24850948
SRR28266341	0.0	0.0	0.0	23703422
SRR32817856	0.0	0.0	0.0	35977253
ERR5696248	0.0	0.0	0.0	5883240
SRR26434856	0.0	0.0	0.0	360376
SRR11216267	0.0	0.0	0.0	18218339
SRR26065688	23.986331834629716	0.0	0.0	55206824
SRR7842688	37.719268043813166	0.0	0.0	99477047
ERR8571450	0.0	0.0	0.0	22064667
ERR2593135	1.7374298960278585	0.0	0.0	53403536
SRR11214574	2.815686659771109	0.0	0.0	16449238
SRR18253500	0.0	0.0	0.0	57943871
ERR13340223	42.19357595384685	0.0	0.0	9988658
SRR30567910	95.48930276884342	0.0	0.0	19198052
SRR18253628	0.0	0.0	0.0	61675876
SRR30722126	12.543309522047883	0.0	0.0	42938883
SRR39651399	0.0	0.0	0.0	23049850
ERR4315583	33.16175462238145	0.0	0.0	20519834
SRR3750722	10.822218917800635	0.0	0.0	37733953
SRR37325194	0.5502500176928798	0.0	0.0	34392366
SRR34575275	18.117077972758374	0.0	0.0	1956491
SRR28207803	0.0	20.766505326506106	0.0	30690850
SRR35833129	8.435612538012483	0.0	0.0	4273596
SRR13349994	0.0	0.0	0.0	66834943
ERR8571447	0.0	0.0	0.0	18156278
SRR1568072	68.9434235183807	0.0	0.0	10671466
SRR1265034	64.13909292276455	0.0	0.0	12426858
