Run	fungi_pct	oomycota_pct	nematoda_pct	analyzed
SRR5493933	3.403155195359188	0.0	0.0	24183352
ERR7421544	15.653725690923292	0.0	0.0	9358130
SRR22973857	5.808711879800221	0.0	0.0	34974174
SRR6925810	3.5895264677495633	0.0	0.0	34129460
SRR29384837	1.1512353962174444	0.0	0.0	35823082
SRR3734861	65.74488214157225	0.0	0.0	450286
SRR8432586	19.702573357580697	0.0	0.0	9476219
SRR25924106	4.3911934124162535	0.0	0.0	40825166
SRR26860117	74.18921355952833	0.0	0.0	26949020
SRR7266216	1.6364094290945972	0.0	0.0	146907
SRR37513065	11.203626353266195	0.0	0.0	41273199
SRR7267012	4.980796983458168	0.0	0.0	1501587
SRR3724136	21.77086721330339	0.0	0.0	30164701
SRR34300138	1.9532980151298414	0.0	0.0	42037057
SRR13823999	69.05879408230754	0.0	0.0	7846572
DRR745649	20.343737140240137	0.0	0.0	19822007
SRR10209322	2.3764445764638795	0.0	0.0	24275887
SRR15498074	6.421169939178335	0.0	0.0	11610501
DRR854529	6.41087153718075	0.0	0.0	25050073
SRR14238791	2.6610407524407154	0.0	0.0	22386880
SRR31439142	4.209670042958036	0.0	0.0	46703019
SRR19399955	2.25231075164483	0.0	0.0	32240267
SRR7000840	1.5839148775381933	0.0	0.0	27598074
SRR8178070	0.0	0.0	0.0	96808529
SRR15607740	0.0	12.85207911406795	0.0	22871280
SRR12054324	15.000531551320758	0.0	0.0	27400929
SRR29384955	1.9696221237969158	0.0	0.0	36151046
SRR17916434	27.595917652709907	0.0	0.0	15940731
SRR36824219	7.377827192751778	0.0	0.0	23287588
SRR9937195	1.489727883518494	0.0	0.0	210789033
DRR858074	18.123094870228552	0.0	0.0	80124135
SRR36367300	11.621165010671675	0.0	0.0	41027298
SRR26035213	14.865389182045854	0.0	0.0	61676098
SRR24768929	3.7805104497278452	0.0	0.0	37832325
SRR29665067	1.9954157644921526	0.0	0.0	20788199
SRR32622398	2.446997206459379	0.0	0.0	18562465
SRR7266061	3.1488575631132547	0.0	0.0	2457685
SRR34697339	1.5471504045951439	0.0	0.0	21618648
SRR38317305	17.27156536552309	0.0	0.0	18969595
SRR36292470	10.06194727583293	0.0	0.0	38227024
SRR22973893	7.8748011320376605	0.0	0.0	31876678
SRR10769484	1.4124768264513465	0.0	0.0	27148410
SRR7408207	8.060192716101836	0.0	0.0	47777741
SRR33846330	2.824912501798449	0.0	0.0	22811326
SRR13590448	2.0936634094276863	0.0	0.0	24125750
SRR29496807	1.5174291897179089	0.0	0.0	22401902
ERR4329559	2.546074757634811	0.0	0.0	79468405
SRR7266126	9.082807912344656	0.0	0.0	1534008
SRR31851393	39.49104658905313	0.0	0.0	32251675
SRR36802771	98.06173098714768	0.0	0.0	24900104
SRR37244498	5.1064989269737175	0.0	0.0	24100994
SRR23758652	0.0	6.8311254889759905	0.0	25154098
SRR7267210	5.060821636864706	0.0	0.0	1950375
SRR38924907	12.474350214579186	0.0	0.0	35545619
SRR3537152	12.954660707531257	0.0	0.0	57549288
ERR4329539	10.75630417662375	0.0	0.0	97757453
SRR8286648	1.5902431561166652	0.0	0.0	19320756
SRR14664487	1.780453506367998	0.0	0.0	38724572
SRR32806003	4.577717693516704	0.0	0.0	29596954
SRR7267174	8.007618261310116	0.0	0.0	106586
SRR26214562	12.79798973043691	0.0	0.0	29750438
SRR30498933	5.7153440076469515	0.0	0.0	21816797
SRR9001738	2.8083122936492524	0.0	0.0	23736890
SRR1765783	2.016737206461737	0.0	0.0	13548617
SRR10067089	4.1281618754054525	0.0	0.0	13697646
SRR34300147	4.060649933699145	0.0	0.0	26224398
SRR10053813	3.040184269547825	0.0	0.0	20891135
SRR25969038	3.3135581042588007	0.0	0.0	13667604
SRR36367319	3.518223766749584	0.0	0.0	38496926
SRR7267310	1.7424310448644138	0.0	0.0	4543824
SRR31895412	5.019605988736613	0.0	0.0	20597533
SRR7644354	62.12526152610567	0.0	0.0	26309515
SRR35391023	2.806312686600909	0.0	0.0	16365140
SRR33649598	21.91832749837546	0.0	0.0	27757127
SRR17916398	40.55971167286252	0.0	0.0	18091672
ERR10886948	3.042204439892283	0.0	0.0	59564373
ERR10886909	3.3924139779511178	0.0	0.0	52259247
SRR3724076	76.86361577870248	0.0	0.0	27546625
SRR17916391	36.64839564829782	0.0	0.0	18103169
SRR26860065	79.94540015560437	0.0	0.0	29715103
SRR30499001	3.758120147938144	0.0	0.0	19255345
SRR7644303	3.312262509719968	0.0	0.0	26774780
SRR16351747	3.7128438736799905	0.0	0.0	22528149
SRR28926617	3.3922443126384394	0.0	0.0	32958033
SRR8309985	2.0242214790430526	0.0	0.0	30899682
SRR26860146	44.7735589737105	0.0	0.0	33245941
SRR10241425	6.140873215402493	0.0	0.0	31472853
SRR31488141	4.204127158965087	0.0	0.0	66908157
